question,A,B,C,D,E,answer,explanation
"<p>Consider an arbitrary distribution of conducting bodies in a charge free space according to the uniqueness theorem, which of following are required to be specified in order that the field is uniquely determined everywhere? <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Total charge on each conductor</li><li style=""padding-top:10px;"">Potential at each conductor surface</li><li style=""padding-top:10px;"">Potential at same of conductor and total charge on the remainder</li><li style=""padding-top:10px;"">Total charge as well as potential gradient on each conductor surface</li></ol> Select the correct answer using the codes given below codes</p>",1 and 3,2 and 4,"1, 2, and 3","1, 2, 3, 4",,B,
<p>The attenuation constant in case of a transmission line is</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-301-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-301-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-301-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-301-4.png""/>",,C,
<p>Which of the following is a better propagation mode to propagate television frequency modulation and radar signals?</p>,Satellite communication,Ground propagation,Polarized communication,None of the above,,A,
<p>Antenna used for T.V. broadcasting is</p>,long dipole,metal horn,crossed dipole,log periodic,,C,
"<p>For a rectangular waveguide (<i>a</i> x <i>b</i>, <i>a</i> &gt; <i>b</i>) to support only the TE<sub>10</sub> mode at wavelength which one of the following pairs of in equalities is to be satisfied?</p>",<i>b</i> &lt; λ &lt; 2<i>b</i>; λ &gt; 2<i>a</i>,<i>b</i> &lt; λ &lt; 2<i>b</i>; λ &lt; 2<i>a</i>,<i>a</i> &lt; λ &lt; 2<i>b</i>; λ &lt; 2<i>a</i>,<i>a</i> &lt; λ &lt; 2<i>b</i>; λ &gt; 2<i>a</i>,,D,
<p>The energy stored in an electric field is given by</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-130-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-130-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-130-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-130-4.png""/>",,A,
<p>Transverse electric (TE) waves have</p>,electric field component E in the direction of propagation,magnetic field component H in the direction of propagation,magnetic field component H in the direction of propagation and no component of electric field E in this direction,electric field component E in the direction of propagation and no component of magnetic field H in this direction,,C,
"<p>For infinite value of SWR on a transmission line, the line be terminated with impedance as</p>",an open-circuit,a short-circuit,a pure resistance,all of the above,,D,
<p>An electromagnetic wave incident on a perfect conductor is</p>,fully transmitted,partially transmitted,entirely reflected,none of the above,,C,
<p>A time varying magnetic field produces</p>,electric field only,magnetic field only,both magnetic and electric fields,none of the above,,C,
<p>An open coil has</p>,zero resistance and inductance,zero resistance and high inductance,infinite resistance and zero inductance,infinite resistance and normal inductance,,C,
<p>Antenna used for direction finding is</p>,long dipole,parabolic,rhombic,helical,,A,
<p>In E plane metal plate lens antenna</p>,travelling wavefronts are retarded,travelling wavefront are accelerated,travelling wavefront remains unaffected,none of the above,,B,
<p>The disturbance from adjacent telephone line is known as</p>,cross fire,cross talk,inductive disturbance,none of the above,,B,
<p>The boundary conditions at the interface between two dielectrics in an electric field are given by</p>,"D<sub>normal</sub> = 0, E<sub>tangential</sub> = 0","D<sub>normal</sub> = 0, E<sub>normal</sub> = 0","D<sub>tangential</sub> = 0, E<sub>tangential</sub> = 0","D<sub>tangential</sub> = 0, E<sub>normal</sub> = 0",,A,
<p>The curve representing Ohm's law is</p>,linear,a parabola,a hyperbola,sine function,,A,
"<p>When a plane wave is incident normally from dielectric '1' (μ<sub>0</sub>, ε<sub>1</sub>) onto dielectric '2' (μ<sub>0</sub>, ε<sub>2</sub>) the electric field of the transmitted wave is 2 times the electric field of the reflected wave. The ratio ε<sub>2</sub>/ε<sub>1</sub> is</p>",0.5,1,2,4,,D,
<p>The electric intensity for free space is given by</p>,ε<sub>0</sub><i>d</i>,σ/ε<sub>0</sub>,σ.ε<sub>0</sub>,<i>d</i>/ε<sub>0</sub>,,C,
<p>Which of following antenna not produces circular polarisation?</p>,Helical,Parabolic,Disc,Yagi,,D,
<p>Purpose of antenna is</p>,to transmit and receive energy,to convert EM into electrical,to convert electrical into EM,all of the above,,D,
<p>MF is generally used for</p>,telegraphy,radio and television links,satellite communication,"broadcasting, navigation",,D,
<p>The attenuation in waveguides near the cut off frequency is</p>,very low,very high,medium,zero,,B,
<p>The ground waves eventually disappear as one moves away from the transmitter because of</p>,tilting,maximum single-hop distance limitation,interference from the sky waves,loss of line-of sight condition,,A,
<p>The radiation resistance of a rod tubing antenna is</p>,55 Ω to 60 Ω,60 to 100 Ω,0 to 377 Ω,60 to 200 Ω,,A,
<p>Power gain of an antenna in a given direction is the ratio of</p>,average power to maximum power,radiation intensity in that direction to the total input radiated power,radiation intensity in that direction to the average radiated power,none of the above,,B,
<p>The secondary lobes in binomial arrays can be reduced by</p>,maintaining spacing between two consecutive radiating sources less than λ/2,"maintaining the amplitudes in radiating sources, from outer towards the centre source, proportional to the coefficients of the successive terms of the binomial series",both (a) and (b),none of the above,,C,
<p>Which of the following statement is <i>incorrect</i>?</p>,Curl of vector potential is magnetic field density,Electric charges in motion produce magnetic field,Electric charges at rest produce electrostatic field,None of the above,,D,
"<p>The maximum effective aperture of a microwave antenna which has a directivity of 900, will be</p>",71.619 λ<sup>2</sup>,716.19 λ<sup>2</sup>,7161.9 λ<sup>2</sup>,71619 λ<sup>2</sup>,,A,
<p>For a wave propagating in air filled rectangular waveguide.</p>,guide wavelength is never less than free space wavelength.,wave impedance is never less than the free space impedance,TEM mode is possible if the dimension of the waveguide are properly chosen.,propagation constant is a real quantity.,,A,
<p>Which of following antenna produces elliptical polarisation?</p>,Helical,Parabolic,Dipole,None,,D,
<p>End fire coupler is formed</p>,when two equal radiators are operated in phase quadrature at a distance of λ/4 apart,when two equal radiators are operated in parallel at a distance of λ/4 apart,when two equal radiators are operated in phase quadrature at a distance of λ/2 apart,none of the above,,A,
<p>Antenna radiation efficiency can be increased by</p>,reducing radiation resistance of the system,increasing radiation resistance of the system,providing effective earthing,any of the above,,B,
<p>Divergence of curl A is</p>,∇ . (∇ x A) = 1,∇ . (∇ x A) = 0,∇ . (∇ x A) = ∇,∇ . (∇ x A) = - ∞,,B,
<p>The energy stored in a magnetic field is given by</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-134-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-134-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-134-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-134-4.png""/>",,A,
"<p>If reflection coefficient is 1/5, then corresponding VSWR is given by</p>",1,2,3,3/2,,D,
<p>The characteristic impedance is given by</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-492-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-492-2.png""/>","Z<sub>0</sub> = <span class=""root"">Z<sub>oc</sub> . Z<sub>sc</sub></span>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-492-3.png""/>",,C,
<p>Surface integral of the electric field intensity is</p>,differential of volume flux,electrical charge,net flux emanating from the surface,none of the above,,C,
<p>The essential condition for antenna array to be linear is that</p>,individual antennas of the array must be of equal size,individual antennas of the array must be equally spaced along a straight line,any two individual antennas of the array must not be in the same direction,none of the above,,B,
<p>Directivity gain depends on</p>,the distribution of radiated power in space,solid angle of the radiated field pattern,both (a) and (b),none of the above,,A,
<p>The fluctuation in the received signal strength at the receiver of a random variation in the received signal is known as</p>,fluctuation,fading,absorption,cycling,,B,
<p>For an elliptically polarized wave incident on the interface of a dielectric at the Brewster angle the reflected wave will be</p>,elliptically polarized,linearly polarized,right circularly polarized,left circularly polarized,,A,
<p>The phase velocity in a transmission line is</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-493-1.png""/>","<i>v</i> = <span class=""root"">LC</span>",<i>v</i> = LC,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-493-2.png""/>",,D,
<p>Which of the antenna is best excited by a waveguide?</p>,Horn,Discone,Helical,Biconical,,A,
