question,A,B,C,D,E,answer,explanation
<p>For an incident wave which is normal on the perfect dielectric the reflection factor is given by (where ε<sub>1</sub> and ε<sub>2</sub> are the permittivities of 1st and 2nd medium respectively)</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-116-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-116-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-116-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-116-4.png""/>",,D,
"<p>For EM wave propagation in free space, the free space is defined as</p>","σ = 0, ε = 1, μ ≠ 1, <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-3.png""/> = 0","σ = 0, ε = 1, μ = 1, <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/197-262-1.png""/> = 0, <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-3.png""/> = 0","σ ≠ 0, ε &gt; 1, μ &lt; 1, <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/197-262-1.png""/> ≠ 0, <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-3.png""/> = 0","σ = 0, ε = 1, μ = 1, <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/197-262-1.png""/> ≠ 0, <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-3.png""/> ≠ 0",,D,
"<p>For TE or TM modes of propagation in bounded media, the phase velocity is</p>",independent of frequency,is a linear function of frequency,is a non-linear function of frequency,can be frequency dependent or frequency independent on the source,,C,
<p>Frequencies in the UHF range propagate by means of</p>,space wave,surface waves,sky waves,ground waves,,A,
<p>Intrinsic or characteristic impedance of free space has a value of</p>,120 ohm,73 ohm,73 ε ohm,120 ε ohm,,D,
<p>Radiation resistance of half-wave dipole (λ/2) antenna is in free space</p>,73 Ω,"120 <span class=""symbol"">p</span>",36.5 Ω,70 Ω,,A,
<p>The effect of the inductance of a coil on a constant direct current is that</p>,it does not effect the constant direct current,it decreases the current,it strengthens the current,it causes a higher voltage drop,,A,
"<p>If H = 0.1 sin (10<sup>8</sup><span class=""symbol"">p</span> <i>t</i> + β<sub>λ</sub>) <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/196-235-b.png""/> A/m for a plane wave propagating in free space, then the time average Poynting vector is</p>","(0.6<span class=""symbol"">p</span>sin<sup>2</sup> β<sub><i>y</i></sub>)<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/195-225-1.png""/> w/m<sup>2</sup>","- 0.6<span class=""symbol"">p</span><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/195-225-1.png""/> w/m<sup>2</sup>","1.2<span class=""symbol"">p</span><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/196-235-b.png""/> w/m<sup>2</sup>","- 1.2<span class=""symbol"">p</span><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/195-225-1.png""/> w/m<sup>2</sup>",,D,
<p>The ratio of tangential component of electric field at the surface of a conductor and the linear current density resulting from this field is __________ impedance</p>,characteristic,critical,surface,polarizing,,C,
<p>The gain of collinear arrays is maximum when the spacing between the elements is</p>,0.1 λ to 0.3 λ,0.3 λ to 0.9 λ,0.5 λ to 0.7 λ,0.7 λ to 0.9 λ,,B,
