question,A,B,C,D,E,answer,explanation
<p>Whenever a wave is incident on a perfect conductor then the reflection coefficient is</p>,1,0,1 &lt; 180°,"depend upon η<sub>1</sub>, η<sub>2</sub>",,B,
<p>Which one set of the following Maxwell's equation gives the basic idea of radiation ?</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-293-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-293-2.png""/>","Δ . D = <span class=""symbol"">r</span>, Δ . B = 0","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-293-3.png""/>",,A,
"<p>When a wave is incident from the more dense into a less dense medium at an angle equal to or exceeding the critical angle, the wave suffers total internal __________ .</p>",reflection,refraction,transmission,none of the above,,B,
"<p>Power gain and directivity related with, G<sub><i>p</i></sub> power gain, G<sub><i>d</i></sub> directive gain</p>",G<sub><i>p</i></sub> = η G<sub><i>d</i></sub>,G<sub><i>d</i></sub> = η G<sub><i>p</i></sub>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/201-341-1.png""/>",G<sub><i>p</i></sub> = η G<sub><i>d</i></sub><sup>2</sup>,,A,
<p>Radiation intensity in a given direction is the</p>,energy radiated per square metre,power radiated per square metre,power radiated per unit solid angle in that direction,none of the above,,C,
"<p>The capacitance between two spheres, whose separation is very much larger than their radii R, is given approximately as</p>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/192-147-1.png""/>","2<span class=""symbol"">p</span>ε<sub>0</sub>R","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/192-147-2.png""/>",none of the above,,B,
<p>If ωε is the displacement current factor and s is conduction current density factor then which of the following statements is <i>incorrect</i>?</p>,For a lossless dielectric σ = 0,For an imperfect dielectric σ = 0,For a dielectric ωε &gt;&gt; σ,For a semiconductor ωε = σ,,B,
<p>Parabolic and lens antenna used at</p>,microwave frequency,medium frequency,low frequency,high frequency,,A,
<p>Which of the following statement regarding waveguides is <i>incorrect</i>?</p>,At waveguide can be coupled to a coaxial cable,At frequencies below the cut off value the wave progresses across the waveguide after total reflections,Waveguides are usually air filled hollow conducting metallic tubes for transmitting UHF and microwaves,Waveguides can handle large power at UHF and microwaves,,A,
<p>The potential that appears at a point in space due to the current which caused it is called potential</p>,accelerating,retardation,oscillating,lagging the current,,B,
