question,A,B,C,D,E,answer,explanation
"<p>For a distortionless line, the parameters are related as</p>",R/G = L/C,R/L = 1,R/G = C/L,RG = LC,,A,
"<p>A field <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/198-277-1.png""/> can be</p>",harmonic,divergence less,solenoidal,rotational,,D,
<p>Phase velocity of waves propagating in a hollow metal waveguide is</p>,greater than the group velocity,less than the velocity of light in free space,equal to the velocity of light in free space,equal to group velocity,,A,
"<p>If a plane electromagnetic wave satisfies the equation <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/194-204-1.png""/>, the wave propagates in the (at an angle of 45° between the <i>x</i> and <i>z</i> direction)</p>",<i>x</i>-direction,<i>z</i>-direction,<i>y</i> direction,<i>xy</i> plane,,B,
<p>Good smoothing factor of a coil depends on</p>,inductance of the coil,terminal voltage,cross-sectional area of the wire of the coil,property of the wire of the coil,,D,
<p>MUF is given by</p>,<i>f<sub>c</sub></i> sec θ,<i>f<sub>c</sub></i> cos θ,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/212-621-1.png""/>",<i>f<sub>c</sub></i> tan θ,,A,
<p>A waveguide behave as</p>,high Pass filter,low Pass filter,band Pass filter,all Pass filter,,A,
<p>Radar antennas are usually</p>,dipoles,yagi antennas,parabolic dishes,none of the above,,C,
<p>The radio horizon for space waves is about three-fourth as for as the optical horizon.</p>,True,False,,,,B,
<p>Triatics are</p>,"small height antenna directly mounted on jeeps, ships, etc.",the towers or masts which are used as radiators,the towers or masts which are not used as radiators,supports for antenna conductors.,,C,
<p>Which of the following is abnormal variation in ionosphere?</p>,Diurnal variation,Seasonal variation,Ionospheric storms,None of the above,,C,
<p>Laplace equation in cylindrical co-ordinates is given by</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/198-272-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/198-272-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/198-272-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/198-272-4.png""/>",,A,
<p>Troposphere is the upper part of the Earth's atmosphere which absorbs large quantities of Sun's radiations.</p>,True,False,,,,B,
"<p>For resonant long wire antenna '<i>n</i>' half wavelength long in free space, if '<i>n</i>' is increased then inclination of the major lobe with wire axis will __________ .</p>",increases,decreases,remains same,none,,B,
<p>The maximum effective aperture of λ/2 (half-wave) antenna is</p>,0.013 λ<sup>2</sup>,0.13 λ<sup>2</sup>,1.3 λ<sup>2</sup>,13 λ<sup>2</sup>,,B,
<p>Zoning is used with a dielectric antenna in order to</p>,permit pin-point focusing,reduce the bulk of the lens,increase the bandwidth of the lens,correct the curvature of the wavefront from a horn that is too short,,A,
<p>For aeroplane and navigation frequency band is</p>,VLF,UHF,VHF,EHF,,B,
<p>Poynting vector signifies which of the following?</p>,Power density vector producing electrostatic field,Power density vector producing electromagnetic field,Current density vector producing electrostatic field,Current density vector producing electromagnetic field,,B,
<p>Which one is correct?</p>,Sky wave propagation (2 to 30 MHz),Space wave propagation (&gt; 30 MHz),Tropospheric propagation (&gt; 300 MHz),All of the above,,D,
"<p>When a magnetic circuit is compared with an electric circuit, the equivalent of the magnetic flux is</p>",the conductivity of the lines,the voltage of the source,the current in the lines,the conductance of the load,,C,
"<p>A TEM wave incident obliquely on a dielectric boundary with ε<sub><i>r</i>1</sub> = 2 and ε<sub><i>r</i>2</sub> = 1, the angle of incidence for total reflection is</p>",30°,60°,45°,90°,,C,
<p>The total field produced by an antenna array system at a distance from it is</p>,sum of the field produced by the individual antennas of the array system,directional gain of antenna,linear antenna gain,vector sum of the field produced by the individual antennas of the array system,,D,
<p>A perfect conductor is a perfect absorber of electromagnetic waves.</p>,True,False,,,,A,
<p>In a lead acid cell the density of the acid gives an indication of</p>,the level of the acid,the eventual damages caused to the plates,the charge of the battery,the e.m.f. of the battery,,C,
<p>A (0.75 - <i>j</i>50) ohm load is connected to a coaxial transmission line of Z<sub>0</sub> = 75 ohms at a frequency of 10 GHz Which of the following will be the best method of matching?</p>,Connecting an inductance at the end,Connecting a short circuited stub at the load,Connecting a capacitance at some distance from the load,Connecting a short circuited stub at some specified distance from the load,,D,
<p>Ground wave propagation is useful for</p>,microwave,medium wave,short wave,long distance,,B,
<p>Radiowaves are electromagnetic waves having frequency range</p>,0.001 to 50 H,0.001 to 50 kHz,0.002 to 50 MHz,0.001 to 10<sup>16</sup> Hz,,D,
<p>When a line of any odd multiple of a quarter wavelength is short-circuited it represents</p>,unit impedance,infinite impedance,zero impedance,none of the above,,B,
<p>An antenna is considered to be in free space where its height above the ground is</p>,λ,2λ,less than 3λ,more than 5λ,,D,
<p>In waveguide Degenerate modes are</p>,two mode having same cut off frequency,two mode having same power,two mode having same phase velocity,it is a hypothetical mode,,A,
<p>Microwave signals follow the curvature of the earth and the phenomenon is known as</p>,tropospheric scatter,duct propagation,Faraday effect,none of the above,,B,
<p>In a carbon-zinc cell the function of the depolarizer is that</p>,it synthesizes the decomposed electrolyte,it converts the produced hydrogen into water,it absorbs the oxygen produced in the cell,it prevents the fast chemical action on the zinc container,,B,
<p>Induction and radiation fields are equal at a distance equal to</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/210-569-1.png""/>",6λ,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/210-569-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/210-569-3.png""/>",,D,
<p>The effective height of an antenna is slightly greater than physical height because</p>,wave velocity in conductor is less than its velocity in free space,wave velocity in conductor is more than its velocity in free space,resistance of conductor is less than that of free space,none of the above,,A,
<p>A long periodic antenna is a</p>,frequency independent antenna,frequency dependent antenna,directional antenna,none of the above,,A,
<p>In a four element Yagi-Uda antenna</p>,"there is one driven element, one director and two reflectors","there is one driven element, two directors and one reflector","there are two driven elements, one director and two reflectors",all the 4 elements are driven element,,B,
"<p>The statement that the line integral of magnetic field about any closed path is exactly equal to the direct current enclosed by that path, is known as</p>",Ampere's circuital law,Coulomb's law,Electrostatic's theory,None of the above,,A,
<p>Transverse magnetic (TM) waves have</p>,magnetic field component H in the direction of propagation,electric field component E in the direction of propagation,magnetic field component H in the direction of propagation and no component of electric field E in this direction,electric field component E in the direction of propagation and no component of magnetic field H in this direction,,D,
<p>UHF and microwaves in the frequency range 300 MHz to 30 GHz can be best transmitted using __________ propagation</p>,sky wave,ground wave,duct,none of the above,,C,
<p>The directive gain of λ/2 resonant wire is 1.64.</p>,True,False,,,,A,
<p>The effective height of a vertical radiator can be increased by</p>,loading with lumped inductance,supporting on an insulator,capacitive loading,giving input more power,,C,
<p>When an electromagnetic wave travelling in one medium strikes upon a second medium (having a different conductivity) the wave will be</p>,totally transmitted,totally reflected,neither transmitted nor reflected,partially transmitted and partially reflected,,D,
