question,A,B,C,D,E,answer,explanation
"<p>When the phase velocity of an EM wave depends on frequency in any medium, the phenomenon is called</p>",scattering,polarization,absorption,dispersion,,B,
<p>A hertzian dipole has a radiation pattern with</p>,a null in the direction of the dipole,a null in the plane perpendicular to the dipole,a peak in the direction of the dipole,none of the above,,A,
<p>Circular polarized waves result when</p>,magnitudes are the same,phases are the same,magnitudes are same and phase difference is 90°,magnitudes are same and phase difference is zero,,C,
<p>Permeance is analogue to</p>,reluctance,conductance,capacitance,resistance,,B,
<p>Skip distance (D) is</p>,(D ∝ <i>f</i>),"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/203-404-1.png""/>",D = <i>f</i>,D &lt; <i>f</i>,,A,
<p>A very reliable service has to be established between two points on earth separated by 1000 km. The band that will be used as</p>,MF,VHF,VLF,HF,,C,
"<p>A rectangular waveguide (2.29 x 1.02) cm operates at a freq. of 11 GHz in TE<sub>10</sub> mode. If the maximum potential gradient of the signal is 5 kV/cm, then the maximum power handling capacity of the waveguide will be</p>",31.11 mW,31.11 W,31.11 kW,31.11 MW,,C,
<p>A parabolic antenna produces a radiation pattern which is</p>,circularly polarized,highly directional,omnidirectional,linearly polarized,,B,
<p>Considerable ionization occurs between the range</p>,50 km to 400 km,100 to 400 km,50 km to 250 km,10 to 50 km,,A,
<p>Gain of isotropic antenna is</p>,10 dB,0 dB,∞,1 dB,,A,
<p>Antenna is a __________ element</p>,passive,active,resistive,capacitive,,A,
<p>Laplacian of a scalar function <i>v</i> is</p>,gradient of <i>v</i>,divergence of <i>v</i>,gradient of the gradient of <i>v</i>,divergence of the gradient of <i>v</i>,,D,
<p>The numerical value of directive gain may lie between</p>,1 and + 1,0 and 1,0 and ∞,1 and ∞,,C,
<p>The wave propagation occurs without attenuation in case of a</p>,conductor,semiconductor,perfect dielectric,none of the above,,C,
<p>A vertical wire of 1 meter length carries a current of 1 A at 10 MHz. The total radiated power is nearly</p>,0.13 W,0.88W,7.3 W,73 W,,D,
"<p>A plane EM wave is travelling in an unbound loss less dielectric having μ<sub><i>y</i></sub> = 1 and ε<sub><i>y</i></sub> = 4, the time average Poynting vector of the wave is 5 W/m<sup>3</sup> . The phase velocity <i>v</i><sub><i>p</i></sub> (assuming velocity of light as 3 x 10<sup>8</sup> m/sec) is</p>",1.5 x 10<sup>8</sup> m/sec,3 x 10<sup>8</sup> m/sec,2.5 x 10<sup>8</sup> m/sec,0.5 x 10<sup>8</sup> m/sec,,A,
<p>The phase velocity in a coaxial line is</p>,greater than C,equal to C,less than C,not depend on C,,A,
<p>D-layer extends approximately from</p>,50 to 90 km,20 to 50 km,90 to 110 km,up to 50 km,,A,
<p>The ionosphere plays a significant role in radio wave propagation at</p>,high frequency,ultra-high frequencies,microwave frequency,optical frequencies,,A,
<p>Radiation resistance for wire antenna is</p>,55 Ω,65 Ω,100 Ω,377 Ω,,B,
"<p>After reflection from a plane conducting surface, the apparent velocity of electromagnetic wave becomes greater than the velocity of light in free space is called</p>",conventional velocity,phase velocity,propagation velocity,group velocity,,B,
<p>In a turnstile antenna the crossed dipoles are excited with voltages</p>,in phase with each other,90° out of phase with each other,120° out of phase with each other,180° out of phase with each other,,B,
<p>Directivity of antenna is defined as</p>,maximum directive gain,average directive gain,∞,0,,A,
"<p>Consider the following; for a loss-less transmission line we can write, <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Z<sub>in</sub> = - <i>jz</i><sub>0</sub> for a shorted line with <i>l</i> = λ/8</li><li style=""padding-top:10px;"">Z<sub>in</sub> = ± <i>j</i> ∞ for a shorted line with <i>l</i> = λ/4</li><li style=""padding-top:10px;"">Z<sub>in</sub>= <i>jz</i><sub>0</sub> for an open line with <i>l</i> = λ/2</li><li style=""padding-top:10px;"">Z<sub>in</sub> = 0 for a matched line of any length</li></ol> Select the correct answer using the codes given below codes.</p>","1, 2","2, 3","1, 3","2, 4",,D,
<p>Strip lines are used at</p>,microwave frequency,low frequency,High frequency,at any frequency,,A,
<p>In end fire array the principle direction of radiation</p>,is perpendicular to the array axis,is perpendicular to the array axis and also to the plane containing the array elements,coincides with the direction of the array,is at 45° to the direction of array axis,,C,
<p>The gain of an half wavelength antenna is</p>,2.15 dB,10 dB,1.78 dB,100 dB,,A,
<p>Which of the following does not characterize a ferromagnetic material?</p>,Coercivity,Permeability,Permittivity,Reluctance,,C,
"<p>Solution of Laplace equations, which are continuous through the second derivative, are called</p>",bessel functions,odd functions,harmonic functions,fundamental functions,,C,
<p>The skip distance does not depends upon</p>,the power transmitted,type of wave propagation,angle of beaming of the wave,frequency of the signal transmitted,,B,
<p>Which one of the following statement is correct?</p>,Both Laplace's (L) and Poisson's (P) equation are non linear,L is non linear but P is linear,L is linear but P is non linear,"L, P both is linear",,A,
<p>Frequency band used for radar is generally</p>,VLF,VHF,UHF,EHF,,C,
<p>In case of antenna the lower value of Q indicates</p>,higher bandwidth,lower bandwidth,higher distortion,lower distortion,,A,
