question,A,B,C,D,E,answer,explanation
<p>Z<sub>L</sub> = 200 Ω and it is desired that Z<sub><i>i</i></sub> = 50 Ω The quarter wave transformer should have a characteristic impedance of</p>,100 Ω,40 Ω,10000 Ω,4 Ω,,A," <p>Z<sub>0</sub> = <span class=""root"">Z<sub><i>i</i></sub> . Z<sub>L</sub></span></p> "
<p>A broadside array consisting of 200 cm wavelength with 10 half-wave dipole spacing 10 cm. And if each array element feeding with 1 amp. current and operating at same frequency then find the half power beamwidth</p>,4°,2°,10°,15°,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/217-379-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/217-379-2.png""/>.</p> "
<p>Refractive index of glass is 1.5. Find the wavelength of a beam of light with a frequency of 10<sup>14</sup> Hz in glass. Assume velocity of light is 3 x 10<sup>8</sup> m/sec in vacuum.</p>,4 μm,3 μm,2 μm,1 μm,,C," <p>Given, μ = 1.6, <i>f</i> = 10<sup>14</sup> Hz, <i>v</i> = 3 x 10<sup>8</sup> m/sec.</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/215-227-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/215-227-2.png""/></p> "
<p>The function <i>f</i>(<i>x</i> - <i>v</i><sub><i>ot</i></sub>) represent which of the following?</p>,A stationary wave,A wave motion in forward direction,A wave motion in reverse direction,None of the above,,B, <p><i>f</i>(<i>x</i> - <i>v<sub>ot</sub></i>) represents in +ve direction while <i>f</i>(<i>x</i> + <i>v<sub>ot</sub></i>) represents a progressive wave in -ve direction.</p> 
<p>A broadside array operating at 100 cm wavelength consist of 4 half-wave dipoles spaced 50 cm apart. Each element carries radio frequency current in the same phase and of magnitude 0.5 A. The radiated power will be</p>,196 W,73 W,36.5 W,18.25 W,,A," <p>P = <i>n</i> . I<sup>2</sup> . R<sub><i>r</i></sub>, where R<sub><i>r</i></sub> = 80<span class=""symbol"">p</span><sup>2</sup> <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/217-427-1.png""/> Ω.</p>
<p><i>n</i> = 4.</p> "
"<p>The input impedance of short-circuited line of length <i>l</i> where λ/4 &lt; <i>l</i> &lt; λ/2, is</p>",resistive,inductive,capacitive,none of the above,,C," <p><i>l</i> &lt; λ/4, Z<sub>L</sub> = 0</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/213-107-1.png""/>, if Z<sub>d</sub> comes +<i>j</i> <i>k</i>Z<sub>C</sub> then inductive, </p>
<p>If Z<sub><i>d</i></sub> comes -<i>j</i> <i>k</i>Z<sub>C</sub> then capacitive.</p>
<p>for 0 ≤ <i>l</i> ≤ 1/4, λ ≤ <i>l</i> ≤ 3λ/4 will be inductive.</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/213-107-2.png""/></p> "
<p>A wave is propagated in a waveguide at frequency of 9 GHz and separation is 2 cm between walls find cut off wavelength for dominant mode.</p>,4 cm,1 cm,2 cm,8 cm,,A," <p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/214-192-1.png""/>.</p> "
<p>Find the radiation resistance of an antenna of length λ/10 meter?</p>,8 Ω,780 Ω,7.8 Ω,78 Ω,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/216-360-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/216-360-2.png""/>.</p> "
"<p>Charge needed within a unit sphere centred at the origin for producing a potential field, <br/><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/197-252-1.png""/></p>","12 <span class=""symbol"">p</span><sub><i>c</i></sub>","60 <span class=""symbol"">p</span><sub><i>c</i></sub>","120 <span class=""symbol"">p</span><sub><i>c</i></sub>","180 <span class=""symbol"">p</span><sub><i>c</i></sub>",,C," <p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/216-252-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/1-sym-imp.gif""/> <i>q</i> = 120<span class=""symbol"">p</span> coulomb, <i>r</i> = 1 meter.</p> "
"<p>A rectangular metal waveguide filled with a dielectric of relative permittivity ε<sub><i>r</i></sub> = 4, has the inside dimensions 3 x 1.2 cm, the cut off frequency for the dominant mode is</p>",2.5 GHz,5 GHz,10 GHz,12.5 GHz,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/215-220-1.png""/> for dominant mode.</p> "
