question,A,B,C,D,E,answer,explanation
<p>Tropospheric scatter is used with frequencies in the</p>,HF,VHF,UHF,VLF,,C,
<p>A Yagi antenna has a driven antenna</p>,only,with a reflector,with one or more directors,with a reflector and one or more directors,,D,
<p>The minimum height of outer atmosphere is</p>,100 km,150 km,200 km,400 km,,D,
<p>An electric charge Q is placed in a dielectric medium which of the following quantities are independent of the dielectric constant ε of the medium</p>,electric potential V and electric field intensity E,displacement density D and displacement φ,electric field intensity E and displacement φ,electric potential V and displacement φ,,B,
<p>A square corner reflector is used in</p>,radio astronomy,tv broadcast,point to point communication,all of the above,,D,
<p>The wave in wave guide has</p>,group velocity inversely proportional to wavelength,larger frequency than in the free space,diminishing wavelength than in the free space,larger wavelength than in the free space,,D,
"<p>While determining antenna height for terrestrial microwaves links, the effect of refraction from the atmosphere is taken care of by considering the effective curvature of the earth to be</p>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/128-6.72-3.png""/> times the radius of the earth (R<sub><i>e</i></sub>)","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/205-447-1.png""/> R<sub><i>e</i></sub>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/205-447-2.png""/> R<sub><i>e</i></sub>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/205-447-3.png""/> R<sub><i>e</i></sub>",,C,
<p>A T.V. station works at 300 MHz and radiates 100 kW of power. This signal received at a distance of 200 km will be</p>,a few μV/m due to attenuation by atmosphere,1-5 mV due to ionospheric reflection,nil since propagation is line of sight,nil because signal fades completely at 300 MHz,,C,
<p>The power gain of a half-wave dipole with respect to an isotropic radiator is</p>,2.15 db,3 db,4.15 db,6 db,,A,
"<p>In an impedance smith chart, a clockwise movement along a constant resistance circle gives rise to</p>",decrease in the value of reactance,an increase in the value of reactance,no change in the reactance value,no change in the impedance value,,B,
<p>When the phase velocity of an EM wave depends on frequency in any medium the phenomenon is called</p>,scattering,polarisation,absorption,dispersion,,B,
<p>The main disadvantage of the two-hole directional coupler is</p>,poor directivity,narrow bandwidth,high standing wave ratio,low directional coupling,,B,
<p>The radiation pattern of a parabola antenna is</p>,omnidirectional,a figure of directional,highly directional,none of the above,,C,
<p>The Q of a resonant transmission line is</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-494-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-494-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-494-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-494-4.png""/>",,B,
"<p>In microwave communication links, when fading due to rain attenuation occurs then technique adopted for solving the problem would include</p>",antenna replacement and feed correction,amplitude timing and phase correction,polarization shifting and code diversity,path diversity and frequency diversity,,D,
<p>Due to which of the following reasons a lightning conductor on top of a building is made into a pointed spike?</p>,Dust particles may not accumulate,Charge per unit area becomes very high for lightening to discharge,Rain drops may not collect,None of the above,,B,
<p>The virtual height of an ionospheric layer is __________ true height</p>,equal to,less than,higher than,no relation,,C,
"<p>The divergence of a vector is a scalar, while the curl of a vector is another</p>",scalar,vector,unit vector,none of the above,,B,
<p>An open wire transmission line having a characteristic impedance of 600 ohms is terminated by a resistive load of 900 Ω. The standing wave ratio will be</p>,1.5,2.5,3.5,4.5,,A,
<p>The skip distance is the maximum distance upto which ionospheric reflection is possible.</p>,True,False,,,,B,
<p>Maxwell's divergence equation for the magnetic field is given as</p>,∇ . B = 0,∇<sup>2</sup> . B = 0,∇ . B = constant,∇<sup>2</sup> . B = constant,,A,
<p>Which antenna is a wideband antenna?</p>,Hertz antenna,Marconi antenna,Folded dipole,None of the above,,C,
<p>The radiation pattern of loop antenna is</p>,circle,semicircle,elliptical,cardoid or Limacon,,D,
<p>Maxwell's curl equation for the static electric field E can be expressed as</p>,Δ x E = 0,Δ x E = constant,Δ - E = constant,Δ . E = 0,,A,
<p>The unit of ∇ x H is</p>,Ampere,Ampere/meter,Ampere/m<sup>2</sup>,Ampere-meter,,C,
<p>The relative permittivity of the ionosphere at ratio frequencies is</p>,&gt; 1,&lt; 1,= 1,≥ 1,,B,
<p>Tropospheric scatter propagation is not subject to any fading.</p>,True,False,,,,B,
<p>The attenuation in waveguide above to cut off frequency</p>,very high,very low,zero,infinite,,B,
<p>VSWR is related with reflection co-efficient as</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-495-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-495-2.png""/>",VSWR = 1 + |<i>k</i>|,VSWR = 1 - |<i>k</i>|,,B,
"<p>When a current carrying conductor is brought into magnetic field, the force that moves the conductor depends upon</p>",the value of current,the weight of the conductor,the direction of the conductor,none of the above,,A,
<p>A square corner reflector is used in which of the following?</p>,TV broadcast,Point-to-point communication,Radio astronomy,All of the above,,D,
<p>Which of the following statement is <i>incorrect</i>?</p>, curl E = -μ <i>j</i>ωE,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-124-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-124-2.png""/>",None of the above,,D,
<p>High frequency waves are</p>,absorbed by the F<sub>2</sub> layer,reflected by the D layer,affected by the solar cycle,none of the above,,C,
<p>The direction of vectors gives the direction of propagation of electromagnetic waves</p>,Vector (E x H),Vector (F x H),Vector E,Vector H,,A,
"<p>According to maximum power transfer theorem, the maximum power is absorbed by one network from another network when</p>",the impedance of one of the networks is half that of the other,the impedance of one is the complex conjugate of the other,the impedance of one is equal to that of the other,none of the above,,B,
"<p>A medium is divided into regions I and II about <i>x</i> = 0 plane, as shown in the figure below. <br/>An EM wave with electric field <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/196-235-2.png""/> is incident normally on the interface from region-I. <br/>The electric field E<sub>2</sub> in region-II at the interface is <br/><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/196-235-1.png""/></p>",E<sub>2</sub> = E<sub>1</sub>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/196-235-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/196-235-4.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/196-235-5.png""/>",,C,
<p>The static electric field in a conductor is</p>,zero,unity,infinity,none of the above,,A,
<p>The propagation constant of a transmission line is</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-491-1.png""/>","<span class=""root"">(R + <i>j</i>ωL)(G + ωC)</span>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/207-491-2.png""/>",none of the above,,B,
<p>In a perfect conductor the incident and reflected wave combine to produce</p>,a stronger incident wave,a stronger reflected wave,a standing wave which is not progressing,none of the above,,C,
<p>MUF is highest in periods of greatest sunspot activity.</p>,True,False,,,,A,
"<p>A transmission line has primary constants R, L, G and C and secondary constant <i>z</i><sub>0</sub> and γ = (<span class=""symbol"">a</span> + Jβ). If the line is loss less, then</p>","R = 0, G ≠ 0, and a = 0","R = 0, G = <span class=""symbol"">a</span>, 0 and β = |r|","G = 0, <span class=""symbol"">a</span> = β","R = 0, G = 0, <span class=""symbol"">a</span> = 0, β = |r|",,A,
<p>Which of the following is multiband HF receiving antenna?</p>,Square loop,Log-periodic,Conical horn,Folded dipole,,B,
<p>A rectangular waveguide is a</p>,rectangular conducting wire to propagate electromagnetic waves,hollow rectangular walled room carrying electromagnetic wave,hollow rectangular conducting tube through which electromagnetic waves can be propagated,tube antenna to transmit and receive electromagnetic waves,,C,
<p>If <i>a</i> and <i>b</i> are the dimensions of waveguide then</p>,<i>a</i> = 3<i>b</i>,<i>a</i> = 2<i>b</i>,<i>a</i> = <i>b</i>,<i>a</i> = <i>b</i>/4,,B,
<p>The frequency range for satellite communication is</p>,3 to 30 kHz,300 to 3000 kHz,3000 to 30000 MHz,30000 to 300000 MHz,,C,
