question,A,B,C,D,E,answer,explanation
"<p>Two LOS antennas having power gains of G<sub>1</sub> and G<sub>2</sub> are separated transmitted power, P<sub><i>r</i></sub> is received power turn P<sub><i>r</i></sub>/P<sub><i>t</i></sub> will be proportional to</p>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/204-425-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/204-425-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/204-425-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/204-425-4.png""/>",,A,
<p>∇<sup>2</sup> is</p>,vector,scalar,depend on direction,none,,B,
<p>End fire array has narrow bandwidth.</p>,True,False,,,,A,
<p>Which of the following antenna is best guided by a waveguide?</p>,Biconical,Horn,Helical,Dish,,B,
<p>Poynting vector is the rate of energy flow having</p>,W/m<sup>2</sup>,W-m,kWh/s,W/m,,A,
<p>Refraction of electromagnetic waves occurs when they</p>,pass through a small slot in a conducting plane,pass into a medium of different dielectric constant,are polarized at right angles to the direction of propagation,encounter a perfectly conduction surface,,A,
<p>The impedance inversion may be objected with</p>,a short-circuited stub,an open-circuited stub,a half-wave line,a quarter-wave line,,D,
"<p>The force acting on a charge <i>q</i> moving with velocity <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/189-78-1.png""/> in a region of electric field <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-12-1.png""/> and magnetic field <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-1.png""/> is</p>","<span class=""symbol"">r</span><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-12-1.png""/> + <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-3.png""/> x <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-1.png""/>","<i>q</i>(<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-1.png""/> + <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/189-78-1.png""/> x <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-12-1.png""/>)","<i>q</i>(<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-12-1.png""/> + <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/189-78-1.png""/> x <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-1.png""/>)",<i>q</i>,,C,
"<p>An electromagnetic wave incidents on a perfect insulator at an angle. If the wave is not entirely parallel polarized, then</p>",the reflected wave will be entirely polarized parallel to the plane of incidence,there will be no reflection,the reflected wave will be entirely polarized perpendicular to the plane of incidence,any of the above,,C,
<p>Coaxial cables can be used for which frequency?</p>,15 kHz,10 MHz,200 MHz,2000 MHz,,C,
"<p>In order to receive a vertical polarized wave, the conductor of the dipole should be mounted</p>",horizontally,vertically,at an angle of 45°,at an angle of 90°,,B,
<p>VSWR can have any value between</p>,0 and 1,- 1 to + 1,0 to ∞,1 to ∞,,D,
<p>The input impedance for folded dipole antenna (two half dipole) is</p>,73 <i>n</i><sup>2</sup>,377 <i>n</i><sup>2</sup>,73 <i>n</i>,377 <i>n</i>,,A,
"<p>What is the characteristic impedance Z<sub>0</sub> of a line having R, inductance L, capacitance C and conductance G?</p>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/200-309-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/200-309-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/200-309-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/200-309-4.png""/>",,A,
<p>Capacitance hats are installed on low frequency antenna is</p>,increase the electrical length,reduce the electrical length,protect against lightening,protect against corona effects,,A,
