question,A,B,C,D,E,answer,explanation
<p>Which one is correct option?</p>,TEM mode exist in free space of infinite boundary,TEM mode exist in two conductor pattern system for finite-boundary,TEM mode exist in waveguide only,Both (a) and (b),,D,
"<p>A vertical loop antenna, like a horizontal dipole, is vertically polarised.</p>",True,False,,,,B,
<p>The attenuation in a waveguide near the cut off frequency is</p>,zero,low,high,very high,,A,
<p>The electric flux and field intensity inside a conducting sphere is</p>,minimum,maximum,uniform,zero,,D,
<p>T.V. antennas are usually</p>,Yagi-Uda,loops,helical,parabolic,,A,
<p>Measurement of radiation resistance by reflection method is suitable for</p>,parasitic element antennas,low frequency vertical conductor antenna,all type of antennas,none of the above,,A,
"<p>A lossless transmission line is connected to two identical voltage source as shown in figure. <br/><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-284-1.png""/> <br/>The impedance measured at the midpoint AA' is</p>",∞,100,50,25,,A,
<p>A loss less transmission line is terminated in a load which reflects a part of the incident power. The measured VSWR is 2. The percentage of the power that is reflected back is</p>,57.73,33.33,0.11,11.11,,D,
<p>A higher directivity is specified by</p>,high gain low BW (Beamwidth),high gain high BW,low gain high BW,none of the above,,A,
<p>The best excited reflector from a wave guide is</p>,horn,parabolic,biconical,corner,,A,
<p>Long distance short-wave radio broadcasting uses</p>,ground wave,ionospheric wave,direct wave,any of the above,,B,
<p>The affect of ground on radiation pattern is to</p>,cause cancellation of radiation along the ground,produce more number of nulls,both (a) and (b),either (a) or (b),,C,
<p>If a electromagnetic signal is incident at 0° in a waveguide then at other port of waveguide we will get</p>,zero power,∞ power,depend upon input signal strength,depend on frequency,,A,
<p>An antenna having a high Q has</p>,lower BW,higher BW,flat response,none of the above,,A,
<p>The polarization of dielectric materials results in</p>,production of eddy currents,creation of electric dipoles,absorption of electrons,release of high velocity protons,,B,
"<p>For a quarter wave transformer, characteristic impedance is related with input and load impedances as</p>","Z<sub>0</sub> = <span class=""root"">Z<sub>R</sub>/Z<sub>S</sub></span>","Z<sub>0</sub> = <span class=""root"">Z<sub>R</sub> . Z<sub>S</sub></span>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/210-586-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/210-586-2.png""/>",,B,
<p>An electron when placed midway between two equal and opposite charges will</p>,remain stationary,oscillate between the charges,be thrown out of the field,spin in the field,,A,
<p>Which of the following is the abnormal phenomena observed in the ionosphere?</p>,Communication link interference,Sun spot cycle,Fading and whistlers,Tides and winds,,A,
<p>In a loss-less transmission line</p>,R &lt;&lt; ω L; G &lt;&lt; ω C,"R = ω L, G = ω C",R &gt;&gt; ω L; G &gt;&gt; ω C,none of the above,,A,
<p>Which layer is least important in high frequency propagation?</p>,D layer,E layer,F<sub>1</sub> layer,F<sub>2</sub> layer,,A,
<p>Which of the wave remains unaffected whether it is a day or night?</p>,Sky wave,Ground wave,Tropospheric wave,Space wave,,B,
<p>Which of the following is not an omnidirectional antenna?</p>,Log periodic,Half-wave dipole,Discone,Marconi,,A,
<p>The unit of magnetic flux density is</p>,farad/metre,ohm/metre,tesla,ampere/metre,,C,
"<p>In a waveguide if TE mode exist for <i>z</i> direction propagation, then</p>","E<sub><i>z</i></sub> = 0, H<sub><i>z</i></sub> ≠ 0","E<sub><i>z</i></sub> = 0, H<sub><i>z</i></sub> = 0","E<sub><i>z</i></sub> ≠ 0, H<sub><i>z</i></sub> = 0","E<sub><i>z</i></sub> ≠ 0, H<sub><i>z</i></sub> ≠ 0",,A,
<p>Critical frequency of a layer in ionosphere</p>,"<i>f<sub>c</sub></i> = 9 <span class=""root"">N</span>",<i>f<sub>c</sub></i> = 81 N<sup>2</sup>,<i>f<sub>c</sub></i> = 81 N,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/202-390-1.png""/>",,A,
<p>Distances near the skip distance should be used for sky-wave propagation</p>,to avoid the Faraday effect,to avoid tilting,to prevent sky-wave and upper ray interference,so as to exceed the critical frequency,,C,
<p>End fire array has a dipole spacing of λ/2.</p>,True,False,,,,B,
<p>Which one of following is correct for broadside array?</p>,Direction of radiation is perpendicular to axis,Also perpendicular to the plane,Current is fed of equal amplitude equal phase,All,,D,
<p>The effective length of an antenna (L<sub><i>e</i></sub>) is</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/200-321-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/200-321-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/200-321-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/200-321-4.png""/>",,B,
<p>Curl of gradient A is</p>,∇ x (∇A) = 1,∇ x (∇A) = ∞,∇ x (∇A) = 0,∇ x (∇A) = - ∞,,C,
"<p>What does the expression <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/200-312-1.png""/> represent?</p>",Electric Energy density,Magnetic Energy density,Power density,Radiation Resistance,,B,
<p>A conductor is said to be perfect if it has __________ conductivity</p>,finite,infinite,unity,zero,,B,
<p>The simplest standing wave is due to the value of reflection co-efficient is</p>,-1,zero,unity,infinity,,C,
"<p>In terrestrial microwave links, the number of 'fades' per unit increases as</p>",both the transmission and the distance between the antennas are increased,the transmission frequency is increased but the distance between the antennas is decreased,the transmission frequency is decreased but the distance between the antennas is increased,both the transmission frequency and distance between the antennas are decreased,,B,
<p>Bandwidth of an antenna is related with where Q is quality factor</p>,Q ∝ B,Q ∝ 1/B,Q ∝ B<sup>2</sup>,Q ∝ 1/B<sup>2</sup>,,B,
<p>Select the correct relation</p>,∇(AB) = A ∇ B + B ∇ A,∇ . (AB) = ∇ A . B + A ∇ B,∇ x (AB) = ∇ A x B + A ∇ B,All of the above,,D,
<p>Diffraction of electromagnetic wave</p>,is caused by reflection from the ground,may occur around the edge of a sharp obstacle,arises only with spherical wavefronts,none of these,,B,
<p>Power gain of antenna equals directive gain in VHF and UHF range if and only if efficiency of the antenna is</p>,0.25,0.5,0.75,1,,D,
<p>For radiation field of an antenna at a distance <i>r</i> varies as</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/201-340-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/201-340-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/201-340-4.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/204-436-1.png""/>",,A,
"<p>For a plane good conductor, skin depth varies</p>",directly as square root of permeability,directly as square root of frequency,inversely as permittivity,inversely as square root of conductivity,,D,
"<p>When a plane wave travelling in free space is incident normally on a medium having ε<sub><i>r</i></sub> = 4.0, then fraction of power transmitted into the medium is given by</p>",8/9,1/2,1/3,5/6,,A,
"<p>For broadside array, maxima will be obtain at</p>","90°, 270°",180°,45°,at any angle,,A,
<p>Surface impedance at high frequencies is a consideration for</p>,good conductors,semiconductors,dielectrics,ferrites,,A,
<p>The unit of displacement density is</p>,volt/metre,ampere/metre<sup>2</sup>,coulombs/metre,coulombs/metre<sup>2</sup>,,D,
<p>Dish antennas are</p>,loop,helical,parabolic,conical,,C,
"<p>When microwave signals follow the curvature of the earth, this is known as</p>",the Faraday effect,ducting,tropospheric scatter,ionospheric reflection,,B,
<p>Characteristic wave impedance is</p>,ε/μ,(ε/μ)<sup>1/2</sup>,E<sub><i>x</i></sub>/H<sub><i>y</i></sub>,H<sub><i>y</i></sub>/E<sub><i>x</i></sub>,,B,
"<p>The attenuation factor <span class=""symbol"">a</span> and phase shift factor β for a wave propagated in a good dielectric having <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-123-2.png""/> are given by</p>","<span class=""symbol"">a</span> = <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-123-1.png""/><span class=""root"">μ/ε</span> , β = ω<span class=""root"">μ/ε</span>","<span class=""symbol"">a</span> = β = <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/191-123-1.png""/><span class=""root"">μ/ε</span>","<span class=""symbol"">a</span> = <span class=""root"">μ/ε</span> , β = <span class=""root"">ωμ/ε</span>","<span class=""symbol"">a</span> = β = <span class=""root"">ωμ/ε</span>",,A,
