question,A,B,C,D,E,answer,explanation
<p>Which of the following gas has the highest calorific value?</p>,Coal gas,Producer gas,Mond gas,Blast furnace gas,,A,
<p>The oxygen atom is __________ times heavier than the hydrogen atom.</p>,2,4,8,16,,D,
"<p>When the gas is cooled at constant pressure,</p>",its temperature increases but volume decreases,its volume increases but temperature decreases,both temperature and volume increases,both temperature and volume decreases,,D,
<p>The work ratio of a gas turbine plant is given by</p>,"<img src=""/_files/images/mechanical-engineering/thermodynamics/253-233-1.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/253-233-2.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/253-233-3.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/253-233-4.png""/>",,A,
"<p>As per Charles' law, the volume of a given mass of a perfect gas varies __________ as its absolute temperature, when the absolute pressure remains constant.</p>",directly,indirectly,,,,A,
<p>The principal constituents of a fuel are</p>,carbon and hydrogen,oxygen and hydrogen,sulphur and oxygen,sulphur and hydrogen,,A,
<p>In an extensive property of a thermodynamic system</p>,extensive heat is transferred,extensive work is done,extensive energy is utilised,none of these,,D,
<p>When a gas is heated at constant pressure</p>,its temperature will increase,its volume will increase,both temperature and volume will increase,neither temperature not volume will increase,,C,
"<p>By decreasing the highest temperature in the Carnot cycle, its efficiency is increased.</p>",True,False,,,,B,
"<p>Workdone during adiabatic expansion is given by (where <i>p</i><sub>1</sub> <i>v</i><sub>1</sub>, <i>T</i><sub>1</sub> = Pressure, volume and temperature for the initial condition of gas, <i>p</i><sub>2</sub>, <i>v</i><sub>2</sub>, <i>T</i><sub>2</sub> = Corresponding values for the final condition of gas, <i>R</i> = Gas constant, and γ = Ratio of specific heats)</p>","<img src=""/_files/images/mechanical-engineering/thermodynamics/243-121-1.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/243-121-2.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/243-121-3.png""/>",all of these,,D,
<p>The lower calorific value of fuel may be obtained by adding the heat of steam formed during combustion to the higher calorific value.</p>,Yes,No,,,,B,
<p>One kg of carbon monoxide requires 4/7 kg of oxygen and produces</p>,11/3 kg of carbon dioxide gas,7/3 kg of carbon monoxide gas,11/7 kg of carbon dioxide gas,8/3 kg of carbon monoxide gas,,C,
"<p>The molecular mass expresssed in gram (i.e. 1 g - mole) of all gases, at N. T. P., occupies a volume of</p>",0.224 litres,2.24 litres,22.4 litres,224 litres,,C,
<p>The absolute zero pressure will be</p>,when molecular momentum of the system becomes zero,at sea level,at the temperature of - 273 K,at the centre of the earth,,A,
<p>The gas in cooling chamber of a closed cycle gas turbine is cooled at</p>,constant volume,constant temperature,constant pressure,none of these,,C,
