question,A,B,C,D,E,answer,explanation
"<p>According to Kelvin-Planck's statement of second law of thermodynamics,</p>","it is impossible to construct an engine working on a cyclic process, whose sole purpose is to convert heat energy into work","it is possible to construct an engine working on a cyclic process, whose sole purpose is to convert heat energy into work",it is impossible to construct a device which operates in a cyclic process and produces no effect other than the transfer of heat from a cold body to a hot body,none of the above,,A,
"<p>According to Gay-Lussac law, the absolute pressure of a given mass of a perfect gas varies __________ as its absolute temperature, when the volume remains constant.</p>",directly,indirectly,,,,A,
<p>According to Avogadro's law</p>,the product of the gas constant and the molecular mass of an ideal gas is constant,the sum of partial pressure of the mixture of two gases is sum of the two,"equal volumes of all gases, at the same temperature and pressure, contain equal number of molecules",all of the above,,C,
"<p>A process, in which the temperature of the working substance remains constant during its expansion or compression, is called</p>",isothermal process,hyperbolic process,adiabatic process,polytropic process,,A,
<p>Which of the following gas has a minimum molecular mass?</p>,Oxygen,Nitrogen,Hydrogen,Methane,,C,
<p>The total energy of a molecule is shared equally by the various degrees of freedom possessed by it. This law is known as</p>,law of equipartition of energy,law of conservation of energy,law of degradation of energy,none of these,,A,
<p>The thermodynamic property of a system is said to be an intensive property whose value for the entire system __________ the sum of their value for the individual parts of the system.</p>,is equal to,is not equal to,,,,B,
"<p>The absolute pressure of a given mass of a perfect gas varies inversely as its volume, when the temperature remains constant. This statement is known as Charles' law.</p>",Yes,No,,,,B,
<p>The fuel mostly used in steam boilers is</p>,brown coal,peat,coking bituminous coal,non-coking bituminous coal,,D,
<p>The efficiency of Joule cycle is</p>,greater than Carnot cycle,less than Carnot cycle,equal to Carnot cycle,none of these,,B,
<p>The hyperbolic pocess is governed by</p>,Boyle's law,Charles' law,Gay-Lussac law,Avogadro's law,,A,
<p>A closed system is one in which heat and work crosses the boundary of the system but the mass of the working substance does not crosses the boundary of the system.</p>,Yes,No,,,,A,
<p>The entropy of water at 0°C is assumed to be</p>,1,0,-1,10,,B,
"<p>The greater the pressure difference in throttling, the lesser is the irreversibility.</p>",Yes,No,,,,B,
<p>During which of the following process does heat rejection takes place in Carnot cycle?</p>,Isothermal expansion,Isentropic expansion,Isothermal compression,Isentropic compression,,C,
<p>Which is the incorrect statement about Carnot cycle?</p>,It is used as the alternate standard of comparison of all heat engines.,All the heat engines are based on Carnot cycle.,It provides concept of maximising work output between the two temperature limits.,all of the above,,B,
"<p>When two bodies are in thermal equilibrium with a third body, they are also in thermal equilibrium with each other. This statement is called</p>",Zeroth law of thermodynamics,First law of thermodynamics,Second law of thermodynamics,Kelvin Planck's law,,A,
<p>The area under the temperature-entropy curve (<i>T</i> - <i>s</i> curve) of any thermodynamic process represents</p>,heat absorbed,heat rejected,either (a) or (b),none of these,,C,
<p>The free expansion process is a constant enthalpy process.</p>,Correct,Incorrect,,,,A,
<p>The specific heat at constant volume is</p>,"the amount of heat required to raise the temperature of unit mass of gas through one degree, at constant pressure","the amount of heat required to raise the temperature of unit mass of gas through one degree, at constant volume",the amount of heat required to raise the temperature of 1 kg of water through one degree,any one of the above,,B,
<p>One kg of carbon produces __________ kg of carbon dioxide.</p>,3/7,7/3,11/3,3/11,,C,
<p>Ericsson cycle consists of two constant pressure and two isothermal processes.</p>,Agree,Disagree,,,,A,
<p>The isothermal and isentropic processes are reversible non-flow processes.</p>,Agree,Disagree,,,,A,
<p>The blast furnace gas is a by-product in the production of pig iron in the blast furnace.</p>,Yes,No,,,,A,
"<p>The heat supplied to the gaS at constant volume is (where <i>m</i> = Mass of gas, <i>c<sub>v</sub></i> = Specific heat at constant volume, <i>c<sub>p</sub></i> = Specific heat at constant pressure, <i>T</i><sub>2</sub> - <i>T</i><sub>1</sub> = Rise in temperature, and <i>R</i> = Gas constant)</p>",<i>mR</i>(<i>T</i><sub>2</sub> - <i>T</i><sub>1</sub>),<i>mc<sub>v</sub></i>(<i>T</i><sub>2</sub> - <i>T</i><sub>1</sub>),<i>mc<sub>p</sub></i>(<i>T</i><sub>2</sub> - <i>T</i><sub>1</sub>),<i>mc<sub>p</sub></i>(<i>T</i><sub>2</sub> + <i>T</i><sub>1</sub>),,B,
<p>Liquid fuels have lower efficiency than solid fuels.</p>,True,False,,,,B,
<p>The heat absorbed during a polytropic process is</p>,"<img src=""/_files/images/mechanical-engineering/thermodynamics/244-125-1.png""/> x Workdone","<img src=""/_files/images/mechanical-engineering/thermodynamics/244-125-2.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/244-125-3.png""/>",all of these,,D,
<p>Liquid fuels consist of hydrocarbons.</p>,True,False,,,,A,
"<p>The expansion ratio (<i>r</i>) is the ratio of (where <i>v</i><sub>1</sub> = Volume at the beginning of expansion, and <i>v</i><sub>2</sub> = Volume at the end of expansion)</p>","<img src=""/_files/images/mechanical-engineering/thermodynamics/243-118-1.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/243-118-2.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/243-118-3.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/243-118-4.png""/>",,B,
"<p>The dual combustion cycle consists of one constant pressure, two constant volume and two isentropic processes.</p>",Agree,Disagree,,,,A,
