question,A,B,C,D,E,answer,explanation
"<p>For the same maximum pressure and temperature,</p>",Otto cycle is more efficient than Diesel cycle,Diesel cycle is more efficient than Otto cycle,Dual cycle is more efficient than Otto and Diesel cycles,Dual cycle is less efficient than Otto and Diesel cycles,,B,
"<p>In a steady flow process, the rate of</p>",heat transfer is constant,work transfer is constant,mass flow at inlet and outlet is same,all of these,,D,
<p>The entropy of the universe is continually on the increase.</p>,Correct,Incorrect,,,,A,
<p>Select the correct statement as per Charles' law</p>,"<i>p</i>.<i>v</i> = constant, if <i>T</i> is kept constant","<i>v</i>/<i>T</i> = constant, if <i>p</i> is kept constant","<i>p</i>/<i>T</i> = constant, if <i>v</i> is kept constant","<i>T</i>/<i>p</i> = constant, if <i>v</i> is kept constant",,B,
<p>The unit of energy is S. I. units is</p>,Joule (J),Joule metre (Jm),Watt(W),Joule/metre (J/m),,A,
"<p>A process, in which the gas is heated or expanded in such a way that the product of its pressure and volume remains constant, is called</p>",isothermal process,hyperbolic process,adiabatic process,polytropic process,,B,
<p>Which of the following statement is correct according to Clausis statement of second law off thermodynamics?</p>,It is possible to transfer heat from a body at a lower temperature to a body at a higher temperature.,"It is impossible to transfer heat from a body at a lower temperature to a body at a higher temperature, without the aid of an external source.",It is possible to transfer heat from a body at a lower temperature to a body at a higher temperature by using refrigeration cycle.,none of the above,,B,
<p>Diesel cycle consists of __________ processes.</p>,two constant volume and two isentropic,two constant pressure and two isentropic,two constant volume and two isothermal,"one constant pressure, one constant volume and two isentropic",,D,
"<p>When coal is first dried and then crushed to a fine powder by pulverising machine, the resulting fuel is called</p>",wood charcoal,bituminous coal,briquetted coal,none of these,,D,
"<p>The process is adiabatic, if the value of n in the equation <i>pv<sup>n</sup></i> = <i>C</i>, is</p>",0,1,γ,∝,,C,
<p>The molecular mass of a substance is the number of times a molecule of that substance is heavier than the hydrogen atom.</p>,True,False,,,,A,
<p>The behaviour of super-heated vapour is similar to that of</p>,perfect gas,air,steam,ordinary gas,,A,
<p>Briquetted coal is produced from the finely ground coal by moulding under pressure with or without a binding material.</p>,True,False,,,,A,
<p>Which of the following is a reversible non-flow process?</p>,Isochoric process,Isobaric process,Hyperbolic process,all of these,,D,
"<p>If in the equation <i>pv<sup>n</sup></i> = <i>C</i>, the value of <i>n</i> = ∝ , then the process is called</p>",constant volume process,adiabatic process,constant pressure process,isothermal process,,A,
"<p>The property of the system, whose value for the entire system is equal to the sum of their values for the individual parts of the system is called extensive property</p>",Yes,No,,,,A,
"<p>Coal gas consists mainly of hydrogen, carbon monoxide and various hydrocarbons.</p>",Agree,Disagree,,,,A,
<p>High air-fuel ratio in gas turbines</p>,increases power output,improves thermal efficiency,reduces exhaust temperature,do not damage turbine blades,,C,
"<p>When the finely ground coal is moulded under pressure with or without a binding material, the resulting fuel is called briquetted coal.</p>",Yes,No,,,,A,
"<p>For the constant pressure and heat input, the air standard efficiency of gas power cycle is in the order</p>","Dual cycle, Diesel cycle, Otto cycle","Otto cycle, Diesel cycle, Dual cycle","Dual cycle, Otto cycle, Diesel cycle","Diesel cycle, Otto cycle, Dual cycle",,A,
<p>Which of the following statement is correct?</p>,The increase in entropy is obtained from a given quantity of heat at a low temperature.,The change in entropy may be regarded as a measure of the rate of the availability or unavailability of heat for transformation into work.,The entropy represents the maximum amount of work obtainable per degree drop in temperature.,all of the above,,D,
<p>The elements are made up of minute and chemically invisible particles as atoms.</p>,True,False,,,,A,
"<p>All perfect gases change in volume by 1 / 273th of its original volume at 0°C for every 1°C change in temperature, when the pressure remains constant. This statement is called</p>",Boyle's law,Charles' law,Gay-Lussac law,Joule's law,,B,
<p>A good fuel should have __________ ignition point.</p>,high,low,,,,B,
"<p>According to Kelvin-Planck's statement, a perpetual motion of the __________ is impossible.</p>",first kind,second kind,,,,B,
<p>The amount of heat generated per kg of fuel is known as</p>,calorific value,heat energy,lower calorific value,higher calorific value,,A,
<p>Carnot cycle has maximum efficiency for</p>,petrol engine,diesel engine,reversible engine,irreversible engine,,C,
<p>The entropy may be expressed as a function of</p>,pressure and temperature,temperature and volume,heat and work,all of these,,A,
"<p>It is __________ to construct an engine working on a cyclic process, whose sole purpose is to convert heat energy into work.</p>",possible,impossible,,,,B,
<p>Which of the following is the correct statement?</p>,All the reversible engines have the same efficiency.,All the reversible and irreversible engines have the same efficiency.,Irreversible engines have maximum efficiency.,All engines are designed as reversible in order to obtain maximum efficiency.,,C,
<p>A close cycle gas turbine gives __________ efficiency as compared to an open cycle gas turbine.</p>,same,lower,higher,,,C,
"<p>Charles' law states that all perfect gases change in volume by __________ of its original volume at 0° C for every 1° C change in temperature, when pressure remains constant.</p>",1/27th,1/93th,1/173th,1/273th,,D,
<p>The calorific value of gaseous fuel is expressed in</p>,kJ,kJ/kg,kJ/m<sup>2</sup>,kJ/m<sup>3</sup>,,D,
<p>The throttling process is an irreversible steady flow expansion process.</p>,Correct,Incorrect,,,,A,
"<p>The efficiency of the dual combustion cycle for the same compression ratio, is __________ Diesel cycle.</p>",greater than,less than,equal to,,,A,
<p>The thermal efficiency of an ideal gas turbine plant is given by (where <i>r</i> = Pressure ratio)</p>,<i>r</i><sup>γ - 1</sup>,1 - <i>r</i><sup>γ - 1</sup>,"<img src=""/_files/images/mechanical-engineering/thermodynamics/254-240-1.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/254-240-2.png""/>",,D,
"<p>To ensure complete and rapid combustion of a fuel, some quantity of air, in excess of the theoretical or minimum air is supplied.</p>",Yes,No,,,,A,
"<p>According to Regnault's law, the specific heat at constant pressure (<i>c<sub>p</sub></i>) and specific heat at constant volume (<i>c<sub>v</sub></i>) __________ with the change in pressure and temperature of the gas.</p>",change,do not change,,,,B,
<p>One molecule of oxygen is __________ times heavier than the hydrogen atom.</p>,12,14,16,32,,D,
"<p>Relation between <i>c<sub>p</sub></i> and <i>c<sub>v</sub></i> is given by (where <i>c<sub>p</sub></i> = Specific heat at constant pressure, <i>c<sub>v</sub></i> = Specific heat at constant volume, γ = <i>c<sub>p</sub></i>/<i>c<sub>v</sub></i>, known as adiabatic index, and <i>R</i> = Gas constant)</p>","<img src=""/_files/images/mechanical-engineering/thermodynamics/240-90-1.png""/>",<i>c<sub>p</sub></i> - <i>c<sub>v</sub></i> = <i>R</i>,"<img src=""/_files/images/mechanical-engineering/thermodynamics/240-90-2.png""/>",Both (B) and (C),,D,
<p>The heat and work are mutually convertible. This statement is called __________ law of thermodynamics.</p>,Zeroth,First,Second,,,B,
<p>Kerosene is distilled at</p>,65° to 220°C,220° to 345°C,345° to 470°C,470° to 550°C,,B,
<p>The polytropic index (<i>n</i>) is given by</p>,"<img src=""/_files/images/mechanical-engineering/thermodynamics/244-126-1.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/244-126-2.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/244-126-3.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/244-126-4.png""/>",,B,
<p>The amount of heat obtained by the complete combustion of 1 kg of a fuel when the products of its combustion are cooled down to the temperature of supplied air is called __________ calorific value offuel.</p>,higher,lower,,,,A,
<p>The mass of flue gas per kg of fuel is the ratio of the</p>,mass of oxygen in 1 kg of flue gas to the mass of oxygen in 1 kg of fuel,mass of oxygen in 1 kg of fuel to the mass of oxygen in 1 kg of flue gas,mass of carbon in 1 kg of flue gas to the mass of carbon in 1 kg of fuel,mass of carbon in 1 kg of fuel to the mass of carbon in 1 kg of flue gas,,C,
"<p>Equal volumes of all gases, at the same temperature and pressure, contain equal number of molecules. This statement is called Avogadro's law.</p>",True,False,,,,A,
<p>Wood charcoal is produced by heating the wood at 100°C.</p>,Yes,No,,,,B,
<p>The __________ is obtained when carbonisation of coal is carried out at 500° to 700° C.</p>,soft coke,hard coke,pulverised coal,bituminous coal,,A,
<p>The bomb calorimeter is used for finding the __________ calorific value of solid and liquid fuels.</p>,higher,lower,,,,A,
<p>The efficiency of the Carnot cycle may be increased by</p>,increasing the highest temperature,decreasing the highest temperature,increasing the lowest temperature,keeping the lowest temperature constant,,A,
