question,A,B,C,D,E,answer,explanation
<p>A cycle consisting of two constant pressure and two isothermal processes is known as Ericsson cycle.</p>,True,False,,,,A,
"<p>A process of heating crude oil to a high temperature under a very high pressure to increase the yield of lighter distillates, is known as</p>",cracking,carbonisation,fractional distillation,full distillation,,A,
"<p>If in the equation <i>pv<sup>n</sup></i> = <i>C</i>, the value of <i>n</i> = 1, then the process is called isothermal process.</p>",True,False,,,,A,
<p>The specific volume of a system is an __________ property.</p>,extensive,intensive,,,,B,
<p>Which of the following process can be made reversible with the help of a regenerator?</p>,Constant pressure process,Constant volume process,Constant pvn process,all of these,,D,
<p>The ideal efficiency of simple gas turbine cycle depends upon pressure ratio.</p>,Yes,No,,,,A,
<p>A molecule consisting of one atom is known as</p>,monoatomic,diatomic,triatomic,polyatomic,,A,
<p>The natural petroleum may be separated into</p>,petrol,kerosene,fuel oil,lubricating oil,,D,
<p>A definite area or a space where some thermodynamic process takes place is known as</p>,thermodynamic system,thermodynamic cycle,thermodynamic process,thermodynamic law,,A,
<p>The amount of heat required to raise the temperature of __________ water through one degree is called kilojoule.</p>,1 g,10 g,100 g,1000 g,,D,
<p>The universal gas constant (or molar constant) of a gas is the product of</p>,molecular mass of the gas and the gas constant,atomic mass of the gas and the gas constant,molecular mass of the gas and the specific heat at constant pressure,molecular mass of the gas and the specific heat at constant volume,,A,
"<p>A process, in which the working substance neither receives nor gives out heat to its surroundings during its expansion or compression, is called</p>",isothermal process,hyperbolic process,adiabatic process,polytropic process,,C,
