question,A,B,C,D,E,answer,explanation
<p>The atomic mass of sulphur is</p>,12,14,16,32,,D,
"<p>A path 1-2-3 is given. A system absorbs 100 kJ as heat and does 60 kJ of work while along the path 1-4-3, it does 20 kJ of work. The heat absorbed during the cycle 1-4-3 is <br/><img src=""/_files/images/mechanical-engineering/thermodynamics/241-96-1.png""/></p>",-140 kJ,-80 kJ,-40 kJ,+60 kJ,,D,
<p>The atomic mass of an element is the number of times the atom of that element is heavier than the hydrogen atom.</p>,True,False,,,,A,
<p>The mass of carbon per kg of flue gas is given by</p>,"<img src=""/_files/images/mechanical-engineering/thermodynamics/260-318-1.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/260-318-2.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/260-318-3.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/260-318-4.png""/>",,A,
"<p>A cycle consisting of two isothermal and two isentropic processes, is known as</p>",Carnot cycle,Stirling cycle,Ericsson cycle,Joule cycle,,A,
"<p>The air standard efficiency of an Otto cycle is given by (where <i>r</i> = Compression ratio, and γ = Ratio of specific heats)</p>",1 - <i>r</i><sup>γ - 1</sup>,1 + <i>r</i><sup>γ - 1</sup>,"<img src=""/_files/images/mechanical-engineering/thermodynamics/250-198-1.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/250-198-2.png""/>",,C,
"<p>In an ideal gas turbine plant, it is assumed that the compression and expansion processes are</p>",isothermal,isentropic,polytropic,none of these,,B,
"<p>When gas is heated at constant pressure, the heat supplied is utilised in</p>",increasing the internal energy of gas,doing some external work,increasing the internal energy of gas and also for doing some external work,none of the above,,C,
<p>The amount of heat required to raise the temperature of 1 kg of water through one Kelvin is called</p>,specific heat at constant volume,specific heat at constant pressure,kilo-Joule,none of these,,C,
"<p>When wood is heated with a limited supply of air to a temperature not less than 280°C, the resulting fuel is</p>",coke,wood charcoal,bituminous coal,briquetted coal,,B,
<p>The efficiency of Diesel cycle increases with increase in cut-off.</p>,Yes,No,,,,B,
"<p>The property of a working substance which increases or decreases as the heat is supplied or removed in a reversible manner, is known as</p>",enthalpy,internal energy,entropy,external energy,,C,
<p>It is __________ to make an engine working on a Carnot cycle.</p>,possible,impossible,,,,B,
<p>The heating of a gas at constant pressure is governed by</p>,Boyle's law,Charles' law,Gay-Lussac law,Avogadro's law,,B,
<p>Reversed Joule cycle is known as</p>,Carnot cycle,Bell-Coleman cycle,Rankine cycle,Stirling cycle,,B,
<p>Which of the following is the extensive property of a thermodynamic system?</p>,Pressure,Volume,Temperature,Density,,B,
"<p>It is impossible to transfer heat from a body at a lower temperature to a body at a higher temperature, without the aid of an external source.</p>",Correct,Incorrect,,,,A,
<p>One kilowatt is equal to</p>,1 N-m/s,100 N-m,1000 N-m/s,1 x 10<sup>6</sup> N-m/s,,C,
<p>Second law of thermodynamics defines</p>,heat,work,internal energy,entropy,,D,
"<p>Energy can neither be created nor destroyed, but it can be transformed from one form to another. This statement is known as</p>",Zeroth law of thermodynamics,First law of thermodynamics,Second law of thermodynamics,Kinetic theory of gases,,B,
<p>The value of one bar (in S. I. units) is equal to</p>,1 x 10<sup>2</sup> N/m<sup>2</sup>,1 x 10<sup>3</sup> N/m<sup>2</sup>,1 x 10<sup>4</sup> N/m<sup>2</sup>,1 x 10<sup>5</sup> N/m<sup>2</sup>,,D,
<p>Petrol is distilled at</p>,65° to 220°C,220° to 345°C,345° to 470°C,470° to 550°C,,A,
"<p>If the carbon content in the bituminous coal is 78 to 81%, it is said to be coking bituminous coal.</p>",Agree,Disagree,,,,B,
