question,A,B,C,D,E,answer,explanation
<p>All the commercial liquid fuels are derived from natural petroleum (or crude oil).</p>,True,False,,,,A,
"<p>A cycle consisting of one constant pressure, one constant volume and two isentropic processes is known as</p>",Carnot cycle,Stirling cycle,Otto cycle,Diesel cycle,,D,
<p>The efficiency and work ratio of a simple gas turbine cycle are</p>,low,very low,high,very high,,B,
"<p>The amount of heat required to raise the temperature of the unit mass of gas through one degree at constant volume, is called</p>",specific heat at constant volume,specific heat at constant pressure,kilo Joule,none of these,,A,
<p>There is a loss of heat in an irreversible process.</p>,True,False,,,,A,
<p>An adiabatic process is one in which</p>,no heat enters or leaves the gas,the temperature of the gas changes,the change in internal energy is equal to the mechanical workdone,all of the above,,D,
<p>Water gas is obtained by passing air and a large amount of steam over waste coal at about 650°C.</p>,Correct,Incorrect,,,,B,
<p>Which of the following represents Otto cycle on temperature - entropy (<i>T</i> - <i>s</i>) diagram?</p>,"<img src=""/_files/images/mechanical-engineering/thermodynamics/251-214-1.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/251-214-2.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/251-214-3.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/251-214-4.png""/>",,C,
"<p>When the gas is heated at constant volume, the heat supplied increases the internal energy of the gas.</p>",True,False,,,,A,
<p>Which of the following is the lightest and most volatile liquid fuel?</p>,Gasoline,Kerosene,Fuel oil,,,A,
"<p>The processes occuring in open system which permit the transfer of mass to and from the system, are known as</p>",flow processes,non-flow processes,adiabatic processes,none of these,,A,
<p>Which of the following has the minimum atomic mass?</p>,Oxygen,Sulphur,Nitrogen,Carbon,,D,
<p>Workdone in a free expansion process is</p>,zero,minimum,maximum,positive,,A,
<p>The pressure exerted by an ideal gas is __________ of the kinetic energy of all the molecules contained in a unit volume of gas.</p>,one-half,one-third,two-third,three-fourth,,C,
<p>The compression ratio for petrol engines is</p>,3 to 6,5 to 8,15 to 20,20 to 30,,B,
<p>The most probable velocity of the gas molecules is given by</p>,"<img src=""/_files/images/mechanical-engineering/thermodynamics/247-163-1.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/247-163-2.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/247-163-3.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/247-163-4.png""/>",,B,
<p>The efficiency of Diesel cycle approaches to Otto cycle efficiency when</p>,cut-off is increased,cut-off is decreased,cut-off is zero,cut-off is constant,,C,
<p>The entropy __________ in an irreversible cyclic process.</p>,remains constant,decreases,increases,,,C,
<p>The atomic mass of oxygen is</p>,12,14,16,32,,C,
<p>The ratio of specific heat at constant pressure (<i>c<sub>p</sub></i>) and specific heat at constant volume (<i>c<sub>v</sub></i>) is</p>,equal to one,less than one,greater than one,none of these,,C,
<p>Carbonisation of coal consists of</p>,drying and crushing the coal to a fine powder,moulding the finely ground coal under pressure with or without a binding material,heating the wood with a limited supply of air to temperature not less than 280°C,none of the above,,D,
<p>The efficiency of Stirling cycle is __________ Carnot cycle.</p>,greater than,less than,equal to,,,C,
"<p>According to Gay-Lussac law for a perfect gas, <i>p</i>/<i>T</i> = constant, if <i>v</i> is kept constant.</p>",True,False,,,,A,
<p>There is no change in internal energy in an isothermal process.</p>,Correct,Incorrect,,,,A,
"<p>If the value of <i>n</i> = 0 in the equation <i>pv<sup>n</sup></i> = <i>C</i>, then the process is called</p>",constant volume process,adiabatic process,constant pressure process,isothermal process,,C,
<p>The value of specific heat at constant pressure (<i>c<sub>p</sub></i>) is __________ that of at constant volume (<i>c<sub>v</sub></i>).</p>,less than,equal to,more than,,,C,
"<p>When coal is strongly heated continuously for 42 to 48 hours in the absence of air in a closed vessel, the process is known as __________ of fuel.</p>",atomisation,carbonisation,,,,B,
