question,choices,answer
"Which of the following choices is NOT a characteristic of analog quantity?","[""Variable amplitude"",""One quantity is represented by another which is proportional to the first"",""Is considered discrete"",""They can vary over a continuous range of values""]",2
"The decimal system is composed of __________ numerals or symbols.","[""2"",""10"",""8"",""16""]",1
"Change in state is","[""same state"",""reset"",""set"",""toggle""]",3
"What is the decimal equivalent of (1101011)<sub>2</sub>?","[""107"",""108"",""96"",""100""]",0
"What is the next binary number following (10111)<sub>2</sub> in the counting sequence?","[""11100"",""11001"",""10110"",""11000""]",3
"What is the largest decimal value that can be represented using 12 bits?","[""144"",""2048"",""4095"",""4096""]",2
"What is the largest number that can be represented using 8 bits?","[""11111111"",""10111011"",""10111111"",""11011111""]",0
"A digital circuit is also referred to as a/an _________ circuit.","[""arithmetic"",""logic"",""electrical"",""sequential""]",1
"CMOS means","[""Complementary Main-Oxide Semiconductor"",""Complementary Metal-Oxide Semiconductor"",""Complements Main-Oxidation Semiconductor"",""Correlation in Metal Oxidized Semiconductor""]",1
"What is the smallest type of computer in terms of their physical size?","[""Minicomputer"",""Mainframe"",""Maxicomputer"",""Microcomputer""]",3
"Equivalent of decimal value of 178 in straight binary code is ________ and in BCD is ________.","[""11000, 11111111"",""10111101, 100000"",""10110010, 101111000"",""111111, 1100000""]",2
"If each digit of a decimal number is represented by its binary equivalent, the result is a code called","[""Morse code"",""Binary system"",""Binary-coded decimal"",""Straight binary coding""]",2
"Convert (614)<sub>8</sub> to decimal.","[""400"",""384"",""392"",""396""]",3
"BCD code has always _________ bits per number.","[""2"",""4"",""8"",""16""]",1
"Convert (B2F)<sub>16</sub> to octal.","[""5547"",""5457"",""7547"",""11010""]",1
"Convert 1000 1001 0111 (BCD) to its decimal equivalent.","[""798"",""457"",""897"",""101""]",2
"Which of the following items below is NOT one of the three basic operations of Boolean algebra?","[""Logical addition"",""Logical complementation"",""Logical subtraction"",""Logical multiplication""]",2
"How many bits are required to represent an eight digit decimal number in BCD?","[""256"",""4"",""255"",""32""]",3
"The __________ belongs to a class of codes called the minimum-change codes, in which only one bit in the code group changes when going from one step to the next.","[""Morse code"",""BCD code"",""Excess-3 code"",""Gray code""]",3
"The most widely used 7-bit alphanumeric code is the","[""ASCII"",""EBCDIC"",""Straight binary code"",""Gray code""]",0
"What is the hex equivalent of an ASCII code which means “HELP”?","[""48 45 4C 50"",""4C 50 51 52"",""58 57 58 48"",""48 45 50 50""]",0
"A __________ takes the complete decimal number and represents it in binary.","[""BCD"",""Gray code"",""Excess-3 code"",""Straight binary code""]",3
"The number of input combinations will equal _________ for an N-input truth table.","[""2<sup>N-1<\/sup>"",""N"",""2<sup>N<\/sup>"",""N-1""]",2
"The __________ operation result will be 1 if any one or more variables is a 1.","[""NOT"",""AND"",""OR"",""NOR""]",2
"A circuit that operates in such a way that its output is high when all its inputs are high.","[""OR"",""NAND"",""NOR"",""AND""]",3
"What is the only input combination that will produce a high at the output of a five-input AND gate?","[""At least one low input"",""At least one high input"",""All inputs should be low"",""All inputs should be high""]",3
"The output of an inverter is connected to the input of a second inverter. Determine the output level of the second inverter.","[""Output level is the complement of the input level"",""Output level is the same as the input level"",""High output is observed"",""Undetermined state""]",1
"Given: x = A’BC (A+D)’. Determine the output of the circuit x if A = 0, B = 1, C = 1 and D = 0.","[""0"",""1"",""2"",""10""]",1
"With OR operation, 1 + 1 = _______","[""1"",""0"",""10"",""2""]",0
"Use the expression for x = D + [(A+B)C]’ · E to determine the output of the circuit for the conditions A = B = E = 1, C = D = 0.","[""0"",""1"",""2"",""10""]",0
"The Boolean expression for a six-input OR gate","[""A + B + C"",""A \u00b7 B \u00b7 C \u00b7 D \u00b7 E \u00b7 F"",""A + B + C + D + E + F"",""U + V + W + X + Y + Z""]",2
"What type of gate is equivalent to a NAND gate followed by an inverter?","[""OR"",""AND"",""XOR"",""NOR""]",1
"Simplify the expression y = AB’D + AB’D’.","[""AB"",""D\u2019"",""BCD"",""AB\u2019""]",3
"How many different ways can we implement the inversion operation in a logic circuit?","[""One"",""Two"",""Three"",""Four""]",2
"In Boolean algebra, B · B’ =","[""B"",""B\u2019"",""0"",""1""]",2
"In Boolean algebra, G + GF =","[""GF"",""G"",""F"",""1""]",1
"In Boolean algebra, X + 1 =","[""X + 1"",""X"",""0"",""1""]",3
"A circuit with no memory characteristic and whose output depends only on the current value of its inputs.","[""SLC"",""Boolean circuits"",""CLC"",""Multiplexers""]",2
"Determine the sum-of-product expression for a circuit with four inputs and an output that is HIGH only when A is low at the same time that exactly two inputs are low.","[""A\u2019B\u2019C\u2019D + A\u2019B\u2019CD\u2019 + A\u2019BC\u2019D\u2019"",""A\u2019B\u2019C\u2019 + C\u2019D\u2019"",""A\u2019B\u2019C\u2019 + A\u2019C\u2019D\u2019 + A\u2019B\u2019D\u2019"",""10""]",0
"What graphical device is used to convert a truth table to its corresponding logic circuit in a simple and orderly process?","[""Karnaugh map"",""State table"",""Truth table"",""State diagram""]",0
"What is the output of an EX – OR gate when a logic signal and its exact inverse are connected to its input?","[""X\u2019"",""X"",""1"",""0""]",2
"One of the standard levels of complexity of integrated circuits which contains 100,000 and more number of gates.","[""SSI"",""MSI"",""VLSI"",""ULSI""]",3
"What is the most common type of digital IC package?","[""DIP"",""Metal type"",""CMOS"",""TTL""]",0
"An acceptable voltage range of a logic 0 for TTL.","[""2 to 5 V"",""0 to 0.8 V"",""0 to 1.5 V"",""3.5 to 5 V""]",1
"An acceptable voltage range of a logic 1 for TTL.","[""2 to 5 V"",""0 to 0.8 V"",""0 to 1.5 V"",""3.5 to 5 V""]",0
"An acceptable voltage range of a logic 0 for CMOS operating at VDD = 5 V.","[""2 to 5 V"",""0 to 0.8 V"",""0 to 1.5 V"",""3.5 to 5 V""]",2
"An acceptable voltage range of a logic 1 for CMOS operating at VDD = 5 V.","[""2 to 5 V"",""0 to 0.8 V"",""0 to 1.5 V"",""3.5 to 5 V""]",3
"What happens when the input to a digital IC is left unconnected for TTL ICs?","[""It acts like logic 1"",""It becomes overheated"",""It acts just like logic 0"",""It eventually destroys itself.""]",0
"An unconnected input is termed as _________.","[""open"",""close"",""disconnected"",""floating""]",3
"An instruction, which means “clear the interrupt mask”.","[""ACC"",""DEL"",""CANCEL"",""CLI""]",3
"Refers to a condition wherein the result of an arithmetic operation is more negative than the capacity of the output register.","[""Error"",""Negative infinite"",""Overflow"",""Underflow""]",3
"Refers to a condition wherein the result of an arithmetic operation is more than the capacity of the output register.","[""Error"",""Infinite"",""Overflow"",""Underflow""]",2
"Machine instructions represented by mnemonics is considered as","[""Machine language"",""Personal language"",""Assembly language"",""Coded language""]",2
"The first generation language of instruction, and is considered as the most primitive instruction that can be given to a computer.","[""Machine language"",""Assembly language"",""COBOL"",""4GL""]",0
"COBOL, FORTRAN, and ALGOL are examples of","[""Machine language"",""Assembly language"",""High-level language"",""4GL""]",2
"An advanced programming language, more advanced than high-level language.","[""Machine language"",""Assembly language"",""High-level language"",""4GL or 4th generation language""]",3
"Translator from high-level program to machine instructions","[""Assembler"",""Converter"",""Encoder"",""Compiler""]",3
"Translates source program to object program","[""Assembler"",""Converter"",""Encoder"",""Compiler""]",3
"Assemble language to machine language translator","[""Assembler"",""Converter"",""Compiler"",""Transponder""]",0
"A program in a programming language, as written by the programmer.","[""Source program"",""Object program"",""Machine program"",""Original program""]",0
"A source program can run in computer only after translation into a machine code by a compiler. This machine code is referred as the","[""Source program"",""Object program"",""Interpreter"",""Mnemonic""]",1
"A program that can read a source program in high-level language, translates, and executes the statement in one operation.","[""Mnemonic"",""Object program"",""Interpreter"",""Assembler""]",2
"A sequence of instructions or statements designed to tell the computer how to carry out a particular processing task.","[""Software"",""Hardware"",""Assembler"",""Program""]",3
"The instructions and data in a computer system is referred to as","[""Software"",""Hardware"",""Program"",""CPU""]",0
"Refers to digital interface in which data characteristics are individually synchronized and may be sent at a time.","[""Half-duplex"",""Asynchronous"",""Synchronous"",""Simplex""]",1
"A network facility used to connect individual similar network segments forming a larger extended network is called _________.","[""Routers"",""Relays"",""Repeaters"",""Bridges""]",2
"What is the circuit that detects bit error in binary characters?","[""Decoder"",""Parity detector"",""Server"",""Comparator""]",1
