question,A,B,C,D,E,answer,explanation
<p>The aim of value engineering is to</p>,find the depreciation value of a machine,determine the selling price of a product,minimise the cost without change in quality of the product,all of the above,,C,
"<p>In time study, the rating factor is applied to determine</p>",standard time of a job,merit rating of the worker,fixation of incentive rate,normal time of a worker,,D,
<p>Gantt chart is used for</p>,inventory control,material handling,production schedule,machine repair schedules,,C,
<p>The main object of scientific layout is</p>,to produce better quality of product,to utilise maximum floor area,to minimise production delays,all of these,,D,
"<p>The probabilistic time is given by (where <i>t<sub>o</sub></i> = Optimistic time, <i>t<sub>p</sub></i> = Pessimistic time, and <i>t<sub>n</sub></i> = Most likely time)</p>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/741-71-1.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/741-71-2.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/741-71-3.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/741-71-4.png""/>",,D,
"<p>In value engineering, the term value refers to</p>",manufacturing cost of the product,selling price of the product,total cost of the product,utility of the product,,D,
"<p>In inventory control theory, the economic order quantity is</p>",average level of inventory,optimum lot size,capacity of a warehouse,lot size corresponding to break-even analysis,,B,
<p>Production cost refers to prime cost plus</p>,factory overheads,factory and administration overheads,"factory, administration and sales overheads","factory, administration, sales overheads and profit",,A,
<p>A systematic job improvement sequence will consist of</p>,motion study,time study,job enrichment,all of these,,D,
<p>Work sampling is applied for</p>,estimation of the percentage utilisation of machine tools,estimating the percentage of the time consumed by various job activities,"finding out time standards, specially where the job is not repetitive and where time study by stop watch method is not possible",all of the above,,D,
<p>Military type of organisation is known as</p>,line organisation,functional organisation,line and staff organisation,"line, staff and functional organisation",,A,
<p>When slack of an activity is negative</p>,it represents a situation where extra resources are available and the completion of project is not delayed,it represents that a programme falls behind schedule and additional resources are required to complete the project in time,the activity is critical and any delay in its performance will delay the completion of whole project,all of the above,,B,
"<p>The procedure of modifying work content to give more meaning and enjoyment to the job by involving employees in planning, organisation and control of their work, is termed as</p>",job enlargement,job enrichment,job rotation,job evaluation,,B," <p><i>Job enrichment</i> can be described as a medium through which management can motivate self-driven employees by assigning them additional responsibility normally reserved for higher level employees. By doing this, the employees feel like their work has meaning and is important to the company.</p> "
<p>Fixed position layout is also known as</p>,analytical layout,synthetic layout,static product layout,none of these,,C,
"<p>In a network shown in the below figure, the critical path is along <br/><img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/744-93-1.png""/></p>",1-2-3-4-8-9,1-2-3-5-6-7-8-9,1-2-3-4-7-8-9,1-2-5-6-7-8-9,,B,
<p>Bar chart is suitable for</p>,large project,major work,minor work,all of these,,C,
<p>Which one of the following chart gives simultaneously information about the progress of work and machine loading?</p>,Process chart,Machine load chart,Man-machine chart,Gantt chart,,C,
<p>Probabilistic time for completion of any activity can be found out from</p>,optimistic time,pessimistic time,most likely time,all of these,,D,
<p>Line organisation is suitable for a big organisation.</p>,Correct,Incorrect,,,,B,
<p>PERT is an event oriented technique.</p>,Correct,Incorrect,,,,A,
<p>Linear programming model can be applied to line balancing problem and transportation problem.</p>,True,False,,,,A,
<p>The chart which gives an estimate about the amount of materials handling between various work stations is known as</p>,flow chart,process chart,travel chart,operation chart,,C,
"<p>The type of organisation preferred for a steel industry, is</p>",line organisation,functional organisation,line and staff organisation,"line, staff and functional organisation",,D,
<p>A device used for lifting or lowering objects suspended from a hook at the end of retractable chains or cable is called</p>,hoist,jib crane,portable elevator,chain conveyor,,A,
<p>A diagram showing the path followed by men and materials while performing a task is known as</p>,string diagram,flow process chart,travel chart,flow diagram,,D,
<p>The determination of standard time in a complex job system is best done through</p>,stop watch time study,analysis of micromotions,grouping timing technique,analysis of standard data system,,D,
"<p>In CPM, the cost slope is determined by</p>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/742-78-1.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/742-78-2.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/742-78-3.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/742-78-4.png""/>",,B,
"<p>If (<i>R</i>) is the base rate guaranteed per hour, (<i>S</i>) is the standard time for the job and (<i>T</i>) is the actual time, then according to Rowan plan, wages for the job will be</p>",<i>TR</i>,"<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/739-46-1.png""/>",<i>TR</i> + (<i>S</i> - <i>T</i>)<i>R</i>,"<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/739-46-2.png""/>",,D,
<p>In a line organisation</p>,responsibility of each individual is fixed,discipline is strong,quick decisions are taken,all of these,,D,
<p>Which of the following are the guidelines for the construction of a network diagram?</p>,Each activity is represented by one and only one arrow in the network.,Dangling must be avoided in a network diagram.,Dummy activity consumes no time or resource.,all of the above,,D,
<p>Work study involues</p>,only method study,only work measurement,method study and work measurement,only motion study,,C,
