question,A,B,C,D,E,answer,explanation
<p>Critical path method</p>,helps in ascertaining time schedules,makes better and detailed planning possible,provides a standard method for communicating project plans schedules and to time and cost performance,all of the above,,D,
<p>PERT is applied for</p>,marketing programmes and advertising programmes,installation of machinery,research and development of products,all of these,,D,
<p>The most important function of inventory control is</p>,stock control system,to run the stores effectively,technical responsibility for the state of materials,all of the above,,D,
<p>Break even analysis represents the relationship between cost and volume.</p>,True,False,,,,A,
<p>In product layout</p>,specialised and strict supervision is required,machines can not be used to their maximum capacity,manufacturing cost rises with a fall in the volume of production,all of the above,,D,
<p>The bonus increases in proportion to the increase in efficiency. This statement applies to</p>,Halsey plan,Ganttplan,Emerson's efficiency plan,Rowan plan,,C,
<p>Which of the following statement is correct about the network diagram?</p>,The events are represented graphically by circles or nodes at the beginning and the end of activity by arrows.,The tail end of the arrow represents the start of an activity.,The head of the arrow represents the end of an activity.,all of the above,,D,
<p>P.M.T.S. (Predetermined Motion Time Systems) include</p>,M.T.M. (Method Time Measurement),W.F.S. (Work Factor Systems),B.M.T.S. (Basic Motion Time Study),all of these,,D,
<p>In jobbing production</p>,highly skilled workers are needed,unit costs are high,operations are labour-intensive,all of these,,D,
<p>Performance rating is equal to</p>,observed performance + normal performance,observed performance - normal performance,observed performance x normal performance,none of the above,,D,
"<p>In perpetual inventory control, the material is checked as it reaches its</p>",maximum value,minimum value,average value,any one of these,,D,
<p>In process layout</p>,handling and back-tracking of materials is too much,production control is more difficult and costly,routing and scheduling is more difficult,all of the above,,D,
<p>A feasible solution to the linear programming problem should</p>,satisfy the problem constraints,optimise the objective function,satisfy the problem constraints and non-negativity restrictions,satisfy the non-negativity restrictions,,C,
<p>Abbreviated work factor data is applied for</p>,material handling operation,maintenance operation,packing and shipping operation,all of these,,D,
<p>Routing</p>,prescribes the sequence of operations to be followed,determines the programme for the operations,is concerned with starting of processes,regulates the progress of job through various processes,,A,
<p>Which of the following conditions are necessary for applying linear programming?</p>,These must be a well defined objective function.,The decision variables should be interrelated and non-negative.,The resources must be in limited supply.,all of the above,,D,
<p>Indirect expenses include</p>,factory expenses,selling expenses,administrative expenses,all of these,,D,
<p>A dummy activity becomes a critical activity when its earliest start time (EST) is same as its latest finishing time (LFT).</p>,Correct,Incorrect,,,,A,
"<p>In time study, normal time is more than the standard time.</p>",Yes,No,,,,B,
<p>The start or completion of task is called</p>,an event,an activity,a duration,none of these,,A,
<p>Monte Carlo solution in queuing theory is extremely useful in queuing problems that can not be analysed mathematically.</p>,Agree,Disagree,,,,A,
<p>A-B-C analysis</p>,is a basic technique of materials management,is meant for relative inventory control,does not depend upon the unit cost of the item but on its annual consumption,all of the above,,D,
<p>The process capability of a machine is defined as the capability of the machine to</p>,produce a definite volume of work per minute,perform definite number of operations,produce job at a definite spectrum of speed,hold a definite spectrum of tolerance and surface finish,,A,
<p>Service time in queuing theory is usually assumed to follow</p>,normal distribution,Poissons distribution,Erlang distribution,exponential law,,D,
"<p>At the break even point,</p>",total cost is more than the sales revenue,total cost is less than the sales revenue,total cost is equal to sales revenue,fixed cost is equal to variable cost,,C,
<p>An activity of the project is graphically represented by __________ on the network diagram.</p>,a circle,a straight line,an arrow,,,C,
"<p>According to Rowan plan of wage incentive system, bonus is paid to a worker</p>",whose output exceeds 67% efficiency,on the percentage of time saved,on the percentage of time worked,on the percentage of standard time,,C,
<p>Which of the following charts are used for plant layout design?</p>,Operation process chart,Man machine chart,Travel chart,all of these,,D,
<p>Earliest finish time can be regarded as</p>,earliest start time + duration of activity,earliest start time - duration of activity,latest finish time + duration of activity,latest finish time - duration of activity,,A,
"<p>If (<i>R</i>) is the base rate guaranteed per hour, (<i>S</i>) is the standard time for the job and (<i>T</i>) is the actual time, then according to Halsey 50-50 plan, wages for the job will be</p>",<i>TR</i>,"<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/739-46-1.png""/>",<i>TR</i> + (<i>S</i> - <i>T</i>)<i>R</i>,"<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/739-46-2.png""/>",,B,
"<p>The time taken by a trained worker to perform an operation, while working a steady pace, is known as</p>",standard time,normal time,representative time,none of these,,A,
<p>Normal time is the ratio of representative time to the rating factor.</p>,True,False,,,,B,
"<p>According to Muther, the basic principle of best layout is</p>",principle of over-all integration,principle of flow,principle of flexibility,all of these,,D,
<p>Time study is carried out to determine the time required to complete job by</p>,a slow worker,a fast worker,an average worker,an apprentice,,C,
"<p>Slack may be positive, zero or negative.</p>",Agree,Disagree,,,,A,
<p>A company spends considerable amount on publicity to promote sales. This expenditure in break even chart is shown below the</p>,fixed cost line,variable cost line,total cost line,sales revenue line,,B,
<p>Time study is used to</p>,determine standard costs,determine the number of machines a person may run,provide a basis for setting piece price or incentive wages,all of the above,,D,
<p>Both Rowan plan and 50-50 Halsey plan will provide the same earning when the actual time is __________ the standard time.</p>,one-fourth,one-half,equal to,twice,,B,
<p>The main objective of work measurement is to</p>,plan and schedule of production,formulate a proper incentive scheme,estimate the selling prices and delivery dates,all of the above,,D,
<p>Generally PERT is preferred over CPM for the purpose of project evaluation.</p>,Yes,No,,,,A,
