question,A,B,C,D,E,answer,explanation
<p>When transistors are used in digital circuits they usually operate in the:</p>,active region,breakdown region,saturation and cutoff regions,linear region,,C,
<p>Three different Q points are shown on a dc load line. The upper Q point represents the:</p>,minimum current gain,intermediate current gain,maximum current gain,cutoff point,,C,
"<p>A transistor has a <img align=""absmiddle"" alt=""mca12_1001a1.gif"" src=""/_files/images/basic-electronics/complete/mca12_1001a1.gif""/> of 250 and a base current, I<sub>B</sub>, of 20 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/complete/mu.gif""/> A. The collector current, I<sub>C</sub>, equals:</p>","500 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/complete/mu.gif""/> A",5 mA,50 mA,5 A,,B,
<p>A current ratio of I<sub>C</sub>/I<sub>E</sub> is usually less than one and is called:</p>,beta,theta,alpha,omega,,C,
"<p>With the positive probe on an NPN base, an ohmmeter reading between the other transistor terminals should be:</p>",open,infinite,low resistance,high resistance,,C,
"<p>In a C-E configuration, an emitter resistor is used for:</p>",stabilization,ac signal bypass,collector bias,higher gain,,A,
<p>Voltage-divider bias provides:</p>,an unstable Q point,a stable Q point,a Q point that easily varies with changes in the transistor's current gain,a Q point that is stable and easily varies with changes in the transistor’s current gain,,B,
"<p>To operate properly, a transistor's base-emitter junction must be forward biased with reverse bias applied to which junction?</p>",collector-emitter,base-collector,base-emitter,collector-base,,D,
<p>The ends of a load line drawn on a family of curves determine:</p>,saturation and cutoff,the operating point,the power curve,the amplification factor,,A,
"<p>If V<sub>CC</sub> = +18 V, voltage-divider resistor R<sub>1</sub> is 4.7 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/complete/omega.gif""/>, and R<sub>2</sub> is 1500<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/complete/omega.gif""/>, what is the base bias voltage?</p>",8.70 V,4.35 V,2.90 V,0.7 V,,B,
<p>The C-B configuration is used to provide which type of gain?</p>,voltage,current,resistance,power,,A,
<p>The Q point on a load line may be used to determine:</p>,V<sub>C</sub>,V<sub>CC</sub>,V<sub>B</sub>,I<sub>C</sub>,,C,
<p>A transistor may be used as a switching device or as a:</p>,fixed resistor,tuning device,rectifier,variable resistor,,D,
"<p>If an input signal ranges from 20–40 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/complete/mu.gif""/>A (microamps), with an output signal ranging from .5–1.5 mA (milliamps), what is the ac beta?</p>",0.05,20,50,500,,C,
<p>Which is beta's current ratio?</p>,I<sub>C</sub>/I<sub>B</sub>,I<sub>C</sub>/I<sub>E</sub>,I<sub>B</sub>/I<sub>E</sub>,I<sub>E</sub>/I<sub>B</sub>,,A,
<p>A collector characteristic curve is a graph showing:</p>,emitter current (I<sub>E</sub>) versus collector-emitter voltage (V<sub>CE</sub>) with (V<sub>BB</sub>) base bias voltage held constant,collector current (I<sub>C</sub>) versus collector-emitter voltage (V<sub>CE</sub>) with (V<sub>BB</sub>) base bias voltage held constant,collector current (I<sub>C</sub>) versus collector-emitter voltage (V<sub>C</sub>) with (V<sub>BB</sub>) base bias voltage held constant,collector current (I<sub>C</sub>) versus collector-emitter voltage (V<sub>CC</sub>) with (V<sub>BB</sub>) base bias voltage held constant,,B,
"<p>With low-power transistor packages, the base terminal is usually the:</p>",tab end,middle,right end,stud mount,,B,
