question,A,B,C,D,E,answer,explanation
<p>R-12 is generally preferred over R-22 in deep freezers since</p>,it has low operating pressures,it gives higher coefficient of performance,it is miscible with oil over large range of temperatures,all of the above,,C,
"<p>The temperature of air recorded by a thermometer, when its bulb is surrounded by a wet cloth exposed to the air, is called</p>",wet bulb temperature,dry bulb temperature,dew point temperature,none of these,,A,
"<p>During sub-cooling, sensible heat from a liquid refrigerant is removed.</p>",Yes,No,,,,A,
"<p>The expression <img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/429-312-3.png""/> is used for calculating relative humidity.</p>",Yes,No,,,,B,
"<p>If the energy radiated per second per sq. cm. of the surface for wave lengths lying between λ, and λ + <i>d</i>λ is represented by (<i>e</i>λ.<i>d</i>λ), then <i>e</i>λ is called</p>",absorptive power,emissive power,emissivity,none of these,,B,
"<p>Dry bulb temperature is the temperature of air recorded by a thermometer, when</p>",it is not affected by the moisture present in the air,its bulb is surrounded by a wet cloth exposed to the air,the moisture present in it begins to condense,none of the above,,A,
"<p>In a spray washing system, if the temperature of water is higher than the dry bulb temperature of entering air, then the air is</p>",heated and dehumidified,heated and humidified,cooled and humidified,cooled and dehumidified,,B,
"<p>A valve which maintains a constant degree of superheat at the end of the evaporator coil, is called</p>",automatic expansion valve,high side float valve,thermostatic expansion valve,low side float valve,,D,
<p>The atmospheric air at dry bulb temperature of 15°C enters a heating coil maintained at 40°C. The air leaves the heating coil at 25°C. The by-pass factor of the heating coil is</p>,0.376,0.4,0.6,0.67,,C,
"<p>An infinite parallel planes with emissivities <i>e</i><sub>1</sub> and <i>e</i><sub>2</sub>, the interchange factor for radiation from surface 1 to surface 2 is given by</p>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/411-99-1u.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/411-99-2.png""/>",<i>e</i><sub>1</sub> + <i>e</i><sub>2</sub>,<i>e</i><sub>1</sub><i>e</i><sub>2</sub>,,A,
<p>The final relative humidity of the air during cooling and dehumidification is generally __________ than that of entering air.</p>,lower,higher,,,,B,
<p>The emissivity of a polished silver body is __________ as compared to black body.</p>,same,low,very low,high,,C,
"<p>In a pressure enthalpy chart, the space between the saturated liquid line and saturated vapour line, represents sub-cooled liquid region.</p>",True,False,,,,B,
<p>R-11 has the highest critical point temperature.</p>,Correct,Incorrect,,,,A,
<p>The ratio of heat extracted in the refrigerator to the workdone on the refrigerant is called</p>,coefficient of performance of refrigeration,coefficient of performance of heat pump,relative coefficient of performance,refrigerating efficiency,,A,
<p>Air refrigerator works on</p>,reversed Carnot cycle,Bell Coleman cycle,both (a) and ib),none of these,,C,
<p>The reciprocating refrigerant compressors are very suitable for</p>,small displacements and low condensing pressures,large displacements and high condensing pressures,small displacements and high condensing pressures,large displacements and low condensing pressures,,C,
<p>The boiling point of carbon dioxide is</p>,-20.5°C,-50°C,-63.3°C,-78.3°C,,D,
<p>The mass of water vapour present in __________ is called absolute humidity.</p>,1 m<sup>3</sup> of wetair,1 m<sup>3</sup> of dry air,1 kg of wet air,1 kg of dry air,,B,
<p>The relative coefficient of performance is equal to</p>,"<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/414-125-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/414-125-2.png""/>",Actual C.O.P. x Theoretical C.O.P.,none of these,,B,
<p>The cooling system used for supersonic aircrafts and rockets is</p>,simple air cooling system,boot-strap air cooling system,reduced ambient air cooling system,regenerative air cooling system,,D,
<p>Which of the following statement is correct?</p>,"In vapour absorption refrigerator, the compression of refrigerent is avoided.",Sub-cooling can be achieved by circulating more quantity of cooling water through the condenser.,"In vapour compression refrigeration, the vapour is drawn in the compressor cylinder during its suction stroke and is compressed adiabatically during the compression stroke.",all of the above,,D,
<p>The desirable property of a refrigerant is</p>,low boiling point,high critical temperature,high latent heat of vaporisation,all of these,,D,
"<p>The humidification process, on the psychrometric chart is shown by</p>",horizontal line,vertical line,inclined line,curved line,,B,
"<p>The colour of the flame of halide torch, in case of leakage of freon refrigerant, will change to</p>",bright green,yellow,red,orange,,A,
<p>The wet bulb depression indicates __________ humidity of the air.</p>,absolute,relative,specific,,,B,
<p>The refrigerant widely used in domestic refrigerators is</p>,ammonia,carbon dioxide,sulphur dioxide,R-12,,D,
"<p>When absorptivity (α) = 1, reflectivity (ρ) = 0 and transmittivity (τ) = 0, then the body is said to be a</p>",black body,grey body,opaque body,white body,,A,
<p>Prandtl number (<i>P<sub>N</sub></i>) is given by <i>P<sub>N</sub></i> = μ.<i>c<sub>p</sub></i>/<i>k</i>.</p>,Yes,No,,,,A,
"<p>In a vapour compression system, the condition of refrigerant before passing through the condenser is</p>",saturated liquid,wet vapour,dry saturated vapour,superheated vapour,,D,
"<p>A composite slab has two layers of different materials with thermal conductivities <i>k</i><sub>1</sub> and <i>k</i><sub>2</sub>. If each layer has the same thickness, then the equivalent thermal conductivity of the slab will be</p>",<i>k</i><sub>1</sub> <i>k</i><sub>2</sub>,<i>k</i><sub>1</sub> + <i>k</i><sub>2</sub>,"<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/405-28-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/405-28-2.png""/>",,D,
