question,A,B,C,D,E,answer,explanation
<p>Which of the following refrigerant has the maximum ozone depletion potential in the stratophere?</p>,Ammonia,Carbon dioxide,Sulphur dioxide,Flourine,,D,
<p>Which of the following statement is correct?</p>,The constant enthalpy lines are also constant wet bulb temperature lines.,The wet bulb and dry bulb temperature are equal at saturation condition.,The wet bulb temperature is a measure of enthalpy of moist air.,all of the above,,D,
"<p>According to Stefan's law, the total radiation from a black body per second per unit area is directly proportional to the fourth power of the absolute temperature.</p>",Correct,Incorrect,,,,A,
<p>In electrolux refrigerator</p>,ammonia is absorbed in hydrogen,ammonia is absorbed in water,ammonia evaporates in hydrogen,hydrogen evaporates in ammonia,,C,
<p>Two long parallel surfaces each of emissivity 0.7 are maintained at different temperatures and accordingly have radiation heat exchange between them. It is desired to reduce 75% of the radiant heat transfer by inserting thin parallel shields of emissivity 1 on both sides. The number of shields should be</p>,one,two,three,four,,C,
<p>A boot-strap air cooling system has</p>,one heat exchanger,two heat exchangers,three heat exchangers,four heat exchangers,,B,
<p>The boiling point of __________ is -10.5°C.</p>,ammonia,R-12,sulphur dioxide,carbon dioxide,,C,
<p>One tonne of refrigeration (1TR) means that the heat removing capacity is</p>,21 kJ/min,210 kJ/min,420 kJ/min,620 kJ/min,,B,
<p>The operating pressure for refrigerating units using R-12 as a refrigerant is</p>,2 bar,8 bar,15 bar,30 bar,,B,
<p>The specific humidity during heating and humidification process.</p>,remains constant,increases,decreases,,,B,
"<p>The superheated vapour region, in a pressure enthalpy chart, is represented by the space</p>",to the left of saturated liquid line,to the right of saturated liquid line,between the saturated liquid line and saturated vapour line,none of the above,,C,
<p>The minimum temperature to which water can be cooled in a cooling tower is</p>,dew point temperature of air,wet bulb temperature of air,dry bulb temperature of air,ambient air temperature,,B,
"<p>The index which corelates the combined effects of air temperature, relative humidity and air velocity on the human body, is known as</p>",mean radiant temperature,effective temperature,dew point temperature,none of these,,B,
<p>The ratio of Nusselt number and the product of Reynold's number and Prandtl number is equal to</p>,Stanton number,Biot number,Peclet number,Grashoff number,,A,
<p>The alignment circle is marked on the psychrometric chart at</p>,20°C <i>DBT</i> and 50% <i>RH</i>,26°C <i>DBT</i> and 50% <i>RH</i>,20°C <i>DBT</i> and 60% <i>RH</i>,26°C <i>DBT</i> and 60% <i>RH</i>,,B,
<p>The C.O.P. of a Carnot refrigerator in winter will be __________ as compared to C.O.P. in summer.</p>,same,lower,higher,,,C,
<p>Which of the following statement is correct?</p>,The human body can lose heat even if its temperature is less than the atmospheric temperature.,The increase in air movement increases the evaporation from the human body.,The warm air increases the rate of radiation of heat from the human body.,both (a) and (b),,D,
"<p>When the temperature of the surrounding is higher than the temperature of the body, then the heat loss by convection from the body to the surrounding will be</p>",positive,negative,zero,none of these,,B,
"<p>If a gas is to be liquified, its temperature must be</p>",increased to a value above its critical temperature,reduced to a value below its critical temperature,equal to critical temperature,none of the above,,C,
<p>The thermostatic expansion valve is used in __________ type of evaporators.</p>,flooded,DX coil,dry,,,C,
"<p>According to Prevost's theory of exchanges, every body irrespective of its temperature continuously emit heat radiations to the surrounding bodies and at the same time receives heat radiations from the surrounding bodies.</p>",True,False,,,,A,
"<p>In a boot-strap air evaporative cooling system, the evaporator is provided</p>",between the combustion chamber and the first heat exchanger,between the first heat exchanger and the secondary compressor,between the secondary compressor and the second heat exchanger,between the second heat exchanger and the cooling turbine,,D,
"<p>According to Stefan-Boltzmann law, the total radiation from a black body per second per unit area is directly proportional to the</p>",absolute temperature,square of the absolute temperature,cube of the absolute temperature,fourth power of the absolute temperature,,D,
<p>A good refrigerant should have</p>,high latent heat of vaporisation and low freezing point,high operating pressures and low freezing point,high specific volume and high latent heat of vaporisation,low C.O.P. and low freezing point,,A,
<p>The thermal diffusivity for gases is generally __________ those for liquids.</p>,equal to,less than,greater than,,,C,
"<p>The condition of refrigerant after passing through the expansion or throttle valve, in a vapour compression system is</p>",high pressure saturated liquid,wet vapour,very wet vapour,dry vapour,,C,
"<p>The process of adding moisture to the air, without change in its dry bulb temperature, is known as humidification.</p>",Agree,Disagree,,,,A,
"<p>In case of liquids and gases, the heat transfer takes place according to</p>",conduction,convection,radiation,none of these,,B,
<p>The logarithmic mean temperature difference (<i>t<sub>m</sub></i>) is given by (where Δ<i>t</i><sub>1</sub> and Δ<i>t</i><sub>2</sub> are temperature differences between the hot and cold fluids at entrance and exit)</p>,"<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/408-59-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/408-59-2.png""/>",<i>t<sub>m</sub></i> = (Δ<i>t</i><sub>1</sub> - Δ<i>t</i><sub>1</sub>) log<sub><i>e</i></sub>(Δ<i>t</i><sub>1</sub>/Δ<i>t</i><sub>1</sub>),"<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/408-59-3.png""/>",,A,
<p>The radiation emitted by a black body is known as</p>,black radiation,full radiation,total radiation,all of these,,D,
<p>The sensible heat during humidification process decreases.</p>,True,False,,,,B,
"<p>According to Newton's law of cooling, the heat transfer from a hot body to a cold body is</p>",directly proportional to the surface area,directly proportional to the difference of temperatures between the two bodies,either (a) or (b),both (a) and (b),,D,
<p>The freezing point of carbon dioxide is equal to boiling point of R-12.</p>,Correct,Incorrect,,,,B,
<p>The condition of refrigerant as it leaves the compressor in a vapour compression system is</p>,saturated liquid,wet vapour,dry saturated vapour,superheated vapour,,D,
<p>The super-heating in a refrigeration cycle</p>,does not alter C.O.P.,increases C.O.P.,decreases C.O.P.,none of these,,C,
<p>Thermal conductivity of a material may be defined as the</p>,quantity of heat flowing in one second through a slab of the material of area 1 cm<sup>2</sup> and thickness 1 cm when its faces differ in temperature by 1° C,quantity of heat flowing in one second through one cm of material when opposite faces are maintained at a temperature difference of 1° C,heat conducted in unit time across unit area through unit thickness when a temperature difference of unity is maintained between opposite faces,all of the above,,D,
"<p>During sensible heating of air, specific humidity remains constant.</p>",Agree,Disagree,,,,A,
<p>Air refrigeration cycle is used in</p>,commercial refrigerators,domestic refrigerators,air-conditioning,gas liquefaction,,D,
<p>Reynolds number is the ratio of</p>,energy transferred by convection to that by conduction,kinematic viscosity to thermal diffusivity,inertia force to viscous force,none of the above,,C,
<p>The wet bulb depression is zero when relative humidity is</p>,zero,0.5,0.75,1.0,,D,
"<p>In a shell and coil condenser, water flows in the shell and the refrigerant in the coil.</p>",True,False,,,,B,
"<p>In a saturated air-water vapour mixture, the</p>",dry bulb temperature is higher than wet bulb temperature,dew point temperature is lower than wet bulb temperature,"dry bulb, wet bulb and dew point temperature are same",dry bulb temperature is higher than dew point temperature,,C,
<p>Dew point temperature corresponds to the saturation temperature of vapour at its partial pressure.</p>,True,False,,,,A,
<p>The capillary tube is not used in large capacity refrigeration systems because</p>,cost is too high,capacity control is not possible,it is made of copper,required pressure drop can not be achieved,,B,
<p>The ratio of emissive power of a body to the emissive power of a perfectly black body is called emissivity.</p>,Agree,Disagree,,,,A,
<p>The thermostatic expansion valve operates on the changes in the</p>,degree of superheat at exit from the evaporator,temperature of the evaporator,pressure in the evaporator,none of the above,,A,
"<p>In a vapour compression system, the condition of refrigerant before entering the expansion or throttle valve is</p>",high pressure saturated liquid,wet vapour,very wet vapour,dry vapour,,A,
<p>The freezing point of R-12 is</p>,-86.6°C,-95.2°C,-107.7°C,-135.8°C,,D,
<p>The refrigerant supplied to a compressor must be</p>,superheated vapour refrigerant,dry saturated liquid refrigerant,a mixture of liquid and vapour refrigerant,none of these,,A,
<p>The unit of thermal diffusivity is</p>,m/hK,m/h,m<sup>2</sup>/h,m<sup>2</sup>/hK,,C,
