question,A,B,C,D,E,answer,explanation
"<p>Sensible heat factor is given by (where <i>S</i>.<i>H</i>. = Sensible heat, and <i>L</i>.<i>H</i>. = Latent heat)</p>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/434-367-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/434-367-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/434-367-3.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/434-367-4.png""/>",,A,
<p>Stefan-Boltzmann law is applicable for heat transfer by convection.</p>,Agree,Disagree,,,,B,
<p>The most commonly used method for the design of duct size is the</p>,velocity reduction method,equal friction method,static regain method,dual or double method,,C,
<p>In counter-current flow heat exchangers</p>,both the fluids at inlet are in their hottest state,both the fluids at inlet are in their coldest state,both the fluids at exit are in their hottest state,one fluid is coldest and the other is hottest at inlet,,A,
"<p>The rate of heat flow through a body is <img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/404-23-1.png""/>. The term <i>x</i>/<i>kA</i> is known as</p>",thermal coefficient,thermal resistance,thermal conductivity,none of these,,B,
"<p>In a vapour compression system, the condition of refrigerant is dry saturated vapour</p>",before entering the compressor,after leaving the compressor,before entering the condenser,after leaving the condenser,,A,
<p>An evaporator is also known as</p>,freezing coil,cooling coil,chilling coil,all of these,,D,
"<p>The rate of heat flow through a body is <img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/404-23-1.png""/>. The term <img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/404-24-1.png""/> is known as temperature gradient.</p>",Yes,No,,,,A,
<p>Oil separator in a refrigeration cycle is installed</p>,before compressor,between compressor and condenser,between condenser and evaporator,between condenser and expansion valve,,B,
"<p>In larger industrial and commercial reciprocating compression systems, refrigerent widely used is</p>",ammonia,carbon dioxide,sulphur dioxide,R-12,,A,
"<p>During sensible cooling of air, specific humidity</p>",remains constant,increases,decreases,,,A,
<p>The transfer of heat by molecular collision is known as</p>,conduction,convection,radiation,none of these,,A,
"<p>When <i>t</i><sub><i>c</i>1</sub> and <i>t</i><sub><i>c</i>2</sub> are the temperatures of cold fluid at entry and exit respectively and <i>t</i><sub><i>h</i>1</sub> and <i>t</i><sub><i>h</i>2</sub> are the temperatures of hot fluid at entry and exit point, and cold fluid has lower heat capacity rate as compared to hot fluid, then effectiveness of the heat exchanger is given by</p>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/409-72-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/409-72-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/409-72-3.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/409-72-4.png""/>",,D,
"<p>In a psychrometric chart, specific humidity (moisture content) lines are</p>",vertical and uniformly spaced,horizontal and uniformly spaced,horizontal and non-uniformly spaced,curved lines,,B,
