question,A,B,C,D,E,answer,explanation
<p>The centrifugal compressors are generally used for refrigerants that require</p>,small displacements and low condensing pressures,large displacements and high condensing pressures,small displacements and high condensing pressures,large displacements and low condensing pressures,,D,
"<p>The water, alcohol and ammonia have same refrigerating effect at different altitudes.</p>",Yes,No,,,,B,
<p>The automobile radiator is a heat exchanger of</p>,parallel flow type,counter flow type,cross flow type,regenerator type,,C,
"<p>In mechanical refrigeration system, the refrigerant occurs as liquid between condenser and expansion valve.</p>",True,False,,,,A,
<p>A heat pump working on a reversed Carnot cycle has a C.O.P. of 5. It works as a refrigerator taking 1 kW of work input. The refrigerating effect will be</p>,1 kW,2 kW,3 kW,4 kW,,D,
<p>The curved lines on a psychrometric chart indicates</p>,dry bulb temperature,wet bulb temperature,dew point temperature,relative humidity,,D,
"<p>During humidification process, __________ increases.</p>",wet bulb temperature,relative humidity,dry bulb temperature,specific humidity,,B,
<p>A pressure gauge on the discharge side of a refrigerant compressor reads too high. The reasons will be</p>,lack of cooling water,water temperature being high,dirty condenser surface,all of these,,D,
<p>The counter-current flow heat exchanger can transfer __________ heat than parallel flow heat exchanger.</p>,less,more,,,,B,
<p>The freon group of refrigerants are</p>,halo-carbon refrigerants,azeotrope refrigerants,inorganic refrigerants,hydro-carbon refrigerants,,A,
"<p>For evaporators and condensers, for the given conditions, the logarithmic mean temperature difference (<i>t<sub>m</sub></i>) for parallel flow is __________ that for counter flow.</p>",equal to,less than,greater than,,,A,
<p>A vapour absorption refrigerator uses __________ as a refrigerant.</p>,water,ammonia,freon,aqua-ammonia,,D,
<p>Thermal conductivity of air increases with rise in temperature.</p>,Correct,Incorrect,,,,A,
<p>The material of pipe lines for a system using ammonia as a refrigerant should be copper.</p>,Yes,No,,,,B,
<p>The wave length corresponding to the maximum energy is inversely proportional to the absolute temperature. This statement is called Planck's law.</p>,Yes,No,,,,B,
<p>Which of the following refrigerant has the highest freezing point.</p>,Ammonia,Carbon dioxide,Sulphur dioxide,R-12,,B,
<p>Air conditioning means</p>,cooling,heating,dehumidifying,all of these,,D,
<p>The emissivity for a black body is</p>,0,0.5,0.75,1,,D,
<p>Which of the following would lead to a reduction in thermal resistance?</p>,"In conduction, reduction in the thickness of the material and an increase in thermal conductivity.","In convection, stirring of the fluid and cleaning the heating surface.","In radiation, increasing the temperature and reducing the emissivity.",all of the above,,D,
"<p>The ratio of the thickness of thermal boundary layer to the thickness of hydrodynamic boundary layer is equal to (Prandtl number)<sup><i>n</i></sup>, where <i>n</i> is equal to</p>",-1/3,-2/3,1,-1,,A,
<p>Free convection flow depends on</p>,density,coefficient of viscosity,gravitational force,all of these,,D,
<p>The critical pressure of a liquid is the pressure</p>,above which a liquid will remain a liquid,above which a liquid will explode,above which a liquid will always convert into a vapour,below which a liquid will always be in vapour form,,A,
<p>Conduction is a process of heat transfer</p>,from one particle of the body to another without the actual motion of the particles,from one particle of the body to another by the actual motion of the heated particles.,"from a hot body to a cold body, in a straight line, without affecting the intervening medium",none of the above,,A,
<p>Thermal diffusivity of a substance is</p>,directly proportional to the thermal conductivity,inversely proportional to density of substance,inversely proportional to specific heat,all of the above,,D,
