question,A,B,C,D,E,answer,explanation
"<p>A condenser of refrigeration system rejects heat at the rate of 120 kW, while its compressor consumes a power of 30 kW. The coefficient of performance of the system will be</p>",1/4,1/3,3,4,,D,
<p>A refrigerant with the highest critical pressure is</p>,R-11,R-12,R-22,Ammonia,,D,
"<p>In a shell and tube heat exchanger, baffles are provided on the shell side to</p>",improve heat transfer,provide support for tubes,prevent stagnation of shell side fluid,all of these,,D,
<p>The average value of thermal conductivity for water at 20° C saturate is about 0.51.</p>,True,False,,,,A,
"<p>In aqua-ammonia absorption refrigeration system, incomplete rectification leads to accumulation of water in</p>",condenser,evaporator,absorber,none of these,,A,
<p>The boiling point of ammonia is</p>,-10.5°C,-30°C,-33.3°C,-77.7°C,,C,
"<p>The by-pass factor (B. P. F.) in case of sensible heating of air is (Where <i>t</i><sub><i>d</i>1</sub> = Dry bulb temperature of air entering the heating coil, <i>t</i><sub><i>d</i>2</sub> = Dry bulb temperature of air leaving the heating coil, and <i>t</i><sub><i>d</i>3</sub> = Dry bulb temperature of heating coil)</p>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/432-343-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/432-343-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/432-343-3.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/432-343-4.png""/>",,B,
<p>The refrigerant used for absorption refrigerators working on heat from solar collectors is a mixture of water and</p>,carbon dioxide,sulphur dioxide,lithium bromide,R-12,,C,
"<p>In a black body, all radiations are rejected.</p>",True,False,,,,B,
<p>Most air cooled condensers are designed to operate with a temperature difference of</p>,5°C,8°C,14°C,22°C,,C,
"<p>In a reversed Brayton cycle, the heat is absorbed by the air during</p>",isentropic compression process,constant pressure cooling process,isentropic expansion process,constant pressure expansion process,,D,
"<p>Wet bulb temperature is the temperature of air recorded by a thermometer, when</p>",it is not effected by the moisture present in the air,its bulb is surrounded by a wet cloth exposed to the air,the moisture present in it begins to condense,none of the above,,B,
<p>A device used for transfering heat from one fluid to another is called heat exchanger.</p>,True,False,,,,A,
<p>The coefficient of performance (C.O.P.) of a refrigerator working as a heat pump is given by</p>,(C.O.P.)<sub>P</sub> = (C.O.P.)<sub>R</sub> + 2,(C.O.P.)<sub>P</sub> = (C.O.P.)<sub>R</sub> + 1,(C.O.P)<sub>P</sub> = (C.O.P)<sub>R</sub> - 1,(C.O.P)<sub>P</sub> = (C.O.P)<sub>R</sub>,,B,
"<p>The temperature below which a gas is always liquified, is known as critical temperature.</p>",Correct,Incorrect,,,,B,
"<p>A Bell Coleman refrigerator working on dense air system as compared to open air system, for the same range of temperature, results in higher coefficient of performance.</p>",Agree,Disagree,,,,A,
<p>The ratio of surface convection resistance to the internal conduction resistance is known as</p>,Grashoff number,Biot number,Stanton number,Prandtl number,,B,
"<p>Relative humidity is given by (where <i>p<sub>v</sub></i> = Partial pressure of water vapour, <i>p<sub>b</sub></i> = Barometric pressure, <i>p<sub>s</sub></i> = Pressure of saturated air, <i>p<sub>d</sub></i> = Pressure at dry bulb temperature, <i>p<sub>w</sub></i> = Saturation pressure corresponding to wet bulb temperature, and μ = Degree of saturation)</p>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/429-312-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/429-312-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/429-312-3.png""/>",none of these,,B,
<p>Kirchhoff's law states that</p>,the total radiation from a black body per second per unit area is directly proportional to the fourth power of the absolute temperature,the wave length corresponding to the maximum energy is proportional to the absolute temperature,the ratio of the emissive power and absorptive power of all bodies is the same and is equal to the emissive power of a perfectly black body,none of the above,,C,
"<p>Dew point temperature is the temperature of air recorded by a thermometer, when the moisture present in it begins to condense.</p>",Correct,Incorrect,,,,A,
"<p>The expression <img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/429-312-1.png""/> is used for calculating</p>",relative humidity,humidity ratio,degree of saturation,pressure of water vapour,,B,
<p>The critical thickness of insulation for a sphere is</p>,<i>k</i>/<i>h</i><sub>0</sub>,2<i>k</i>/<i>h</i><sub>0</sub>,<i>h</i><sub>0</sub>/<i>k</i>,<i>h</i><sub>0</sub>/2<i>k</i>,,B,
"<p>The difference between dry bulb temperature and dew point temperature, is called</p>",dry bulb depression,wet bulb depression,dew point depression,degree of saturation,,C,
<p>Logarithmic mean temperature difference is the same as the arithmetic mean temperature difference.</p>,Agree,Disagree,,,,B,
<p>Film coefficient is defined as the ratio of</p>,thermal conductivity to the equivalent thickness of the film of fluid,temperature drop through the films of fluids to the thickness of film of fluids,thickness of film of fluid to the thermal conductivity,thickness of film of fluid to the temperature drop through the films of fluids,,A,
