question,A,B,C,D,E,answer,explanation
<p>In a T flip-flop the output frequency is</p>,same as input frequency,half of I/p frequency,double the input frequency,none,,B,
<p>The access time of ROM using bipolar transistors is about</p>,1 sec,1 mili sec,1 μ sec,1 n sec,,C,
<p>In LIFO</p>,only the top of the stack is immediately accessible,only the top of the stack is never accessible,only the first-in is accessible,only the first-in is not accessible,,A,
<p>10 in BCD code represent</p>,10100,1100,010111,None of the above,,D,
"<p>In RAM, all the information can be obtained at the output with</p>",minimum time delay,unequal time delay,nearly identical time delay,maximum time delay,,C,
<p>A 1 ms pulse can be converted into a 10 ms pulse by using which one of the following</p>,An astable multivibrator,Stable multivibrator,A bistable multivibrator,A J-K flip-flop,,B,
"<p>In the DRAM cell in the figure is the V<sub>t</sub> of the NMOSFET is 1 V. For the following three combinations of WL and BL voltages.<br/><img src=""/_files/images/electronics-and-communication-engineering/digital-electronics/39-576.png""/></p>","5 V, 3 V, 7 V","4 V, 3 V, 4 V","5 V, 5 V, 5 V","4 V, 4 V, 4 V",,C,
<p><p><b>Assertion (A):</b>  The carry look ahead adder is very fast </p><p><b>Reason (R):</b> The carry look ahead adder generates the carry and sum digits directly.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,"A is true, R is false","A is false, R is true",,C,
<p>The factors which govern fan out of CMOS gates are</p>,maximum permissible propagation delay,input capacitance of each load,both (a) and (b),neither (a) nor (b),,C,
"<p>Which of the following subtraction operations do not result in F<sub>16</sub>? <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">(BA)<sub>16</sub> - (AB)<sub>16</sub> <br/></li><li style=""padding-top:10px;"">(BC)<sub>16</sub> - (CB)<sub>16</sub><br/></li><li style=""padding-top:10px;"">(CB)<sub>16</sub> - (BC)<sub>16</sub><br/></li><li style=""padding-top:10px;"">(CB)<sub>16</sub> - (BC)<sub>16</sub></li></ol> Select the correct answer</p>",1 and 2,1 and 3,2 and 3,"1, 2 and 3",,A,
"<p>In 8085 microprocessor, how many I/O ports can be accessed by direct method?</p>",8,256,32 K,64 K,,B,
<p>If the mantissa of a digital computer is 37 bit long then the accuracy of the digital computer will be of</p>,37 decimal places,23 decimal places,11 decimal places,accuracy is independent of the length to mantissa,,C,
<p>Bipolar IC memories are fabricated using</p>,high density versions of the bipolar transistor flip-flop,low density versions of the unipolar transistor flip-flop,high density versions of the MOSFET,low density versions of the MOSFET,,A,
"<p>The circuit in the given figure is<br/><img src=""/_files/images/electronics-and-communication-engineering/digital-electronics/24-303.png""/></p>",half adder,full adder,half subtractor,full subtractor,,A,
<p>A D-flip-flop is</p>,dial type flip-flop,delay flip-flop,differential flip-flop,digital flip-flop,,B,
"<p>The fetching, decoding and executing of an instruction is broken down into several time intervals. Each of these intervals, involving one or more clock periods, is called a</p>",instruction cycle,machine cycle,process cycle,none of the above,,B,
"<p>The output of the circuit shown below will be of the frequency<br/><img src=""/_files/images/electronics-and-communication-engineering/digital-electronics/51-829.png""/></p>",125 Hz,250 Hz,500 Hz,750 Hz,,B,
"<p>In the given figure Y =<br/><img src=""/_files/images/electronics-and-communication-engineering/digital-electronics/34-469.png""/></p>",A,B,A + B + C,ABC,,B,
<p><p><b>Assertion (A):</b>  An encoder converts key dips to binary code.</p><p><b>Reason (R):</b> An encoder has more inputs than output.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,"A is true, R is false","A is false, R is true",,B,
"<p>If a RAM has 34 bits in its MAR and 16 bits in its MDR, then its capacity will be</p>",32 GB,16 GB,32 MB,16 MB,,A,
<p>DeMorgan's second theorem is</p>,"A . <span style=""text-decoration:overline;"">A</span> = 0","<span style=""text-decoration:overline;"">A</span> = A","<span style=""text-decoration:overline;"">A + B</span> = <span style=""text-decoration:overline;"">A</span> . <span style=""text-decoration:overline;"">B</span>","<span style=""text-decoration:overline;"">AB</span> = <span style=""text-decoration:overline;"">A</span> + <span style=""text-decoration:overline;"">B</span>",,D,
<p>In a D latch</p>,a high D sets the latch and low D resets it,a low D sets the latch and high D resets it,race can occur,none of the above,,A,
"<p>In floating point representation, mantissa is expressed in</p>",excess 3 notation,gray code,excess 32 notation,2's complement,,C,
<p>Which of the circuits in the given figure that converts JK flip flop to T flip flop?</p>,"<img src=""/_files/images/electronics-and-communication-engineering/digital-electronics/29-391-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/digital-electronics/29-391-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/digital-electronics/29-391-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/digital-electronics/29-391-4.png""/>",,A,
<p>In the generic microprocessor</p>,instruction cycle time period is shorter than machine cycle time period,machine cycle time period is shorter than instruction cycle time period,instruction cycle time period is exactly half of machine cycle time period,instruction cycle time period is exactly equal to machine cycle time period,,B,
"<p>Consider the following registers: <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">A accumulator and B register</li><li style=""padding-top:10px;"">B and C registers</li><li style=""padding-top:10px;"">D and E registers</li><li style=""padding-top:10px;"">H and L registers</li></ol> Which of these 8-bit registers of 8085 μP can be paired together to make a 16-bit register?</p>","1, 3 and 4","2, 3 and 4",1 and 2,"1, 2 and 3",,B,
<p>Access time of a storage is the time required</p>,to write one word into the memory,to read one word from the memory,to write one word into and to read one word from the memory,either to write one word or to read one word,,D,
"<p>For a D/A converter, inputs and outputs are given. The output corresponding to digital input 01000 <br/><img src=""/_files/images/electronics-and-communication-engineering/digital-electronics/55-924.png""/></p>",2.0 V,2.5 V,3.0 V,4.0 V,,A,
"<p>By placing an inverter between both inputs of an S-R flip-flop, the resulting flip-flop becomes</p>",J-K flip-flop,D-flip-flop,T-flip-flop,Master salve JK flip-flop,,B,
<p>Which of the following flip-flop do not have race problem?</p>,T flip-flop,D flip-flop,JK flip-flop,Master-slave flip-flop,,D,
<p>It is desired to route data from many registers to one register. The device needed is</p>,decoder,multiplexer,demultiplexer,counter,,B,
<p>Advanced low power Schottky is a part of</p>,ECL family,CMOS family,TTL family,none of the above,,C,
<p>A device that converts from decimal to binary numbered is called</p>,decoder,encoder,CPU,converter,,B,
"<p>It is desired to clean up ragged looking pulsed that have been distorted during transmission from one place to another, which of the following device will be appropriate?</p>",Multiplexer,D/A converter,JK flip-flop,Schmitt trigger,,D,
<p>Decimal number 9 in gray code =</p>,1100,1101,110,1111,,B,
"<p>In magnetic film memory, the memory element consits of</p>",plated wires,superconductive material,nickel iron alloy,doped aluminium,,C,
<p>Which device changes serial data to parallel data?</p>,Counter,Multiplexer,Demultiplexer,Flip flop,,C,
<p>CD4010 is a</p>,inverting buffer,non-inverting hex buffer,NOR IC,NAND IC,,B,
<p>What is the terminal count in decimal form?</p>,1579,1681,1881,2014,,A,
<p>The binary sum of 111010<sub>2</sub> and 11011<sub>2</sub> is</p>,1010101<sub>2</sub>,1011001<sub>2</sub>,1011101<sub>2</sub>,1111111<sub>2</sub>,,A,
<p>The number of programmable 8 bit registers of 6800 are</p>,2,3,4,5,,A,
"<p>The seven bit Hamming code received is 0010001. If even parity has been used, the correct code is</p>",0010001,1110001,0110001,0011001,,D,
<p>When two 4 bit parallel adders are cascaded we get</p>,4 bit parallel adder,8 bit parallel adder,16 bit parallel adder,none of the above,,B,
"<p>Consider the following features: <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">negative operands cannot be used</li><li style=""padding-top:10px;"">when immediate operand changes, the program should be reassembled</li><li style=""padding-top:10px;"">the program is difficult to read</li><li style=""padding-top:10px;"">the size of operand is restricted by word length of the computer</li></ol> Disadvantages of immediate addressing include</p>",1 and 2,2 and 4,2 and 3,1 and 4,,B,
<p>Which binary addition is incorrect?</p>,1101.1 + 1011.1 = 11001.0,101101 + 1101101 + 1100011,0.0011 + 0.1110 + 1.0001,1100.001 + 1011.011 = 10111.100,,D,
<p>Flash ADC is</p>,serial ADC,parallel ADC,series-parallel ADC,successive approximation ADC,,B,
<p>Which of the following logic no resistors are used?</p>,CMOS,TTL,4 n sec ECL,8 sec ECL,,A,
