question,A,B,C,D,E,answer,explanation
<p>Segmental chips are formed during machining</p>,mild steel,cast iron,high speed steel,high carbon steel,,B,
<p>Cemented carbide tool tips are produced by powder metallurgy.</p>,True,False,,,,A,
"<p>If the diameter of the hole is subject to considerable variation, then for locating in jigs and fixtures, the pressure type of locator used is</p>",conical locator,cylindrical locator,diamond pin locator,vee locator,,A,
<p>Side rake angle of a single point cutting tool is the angle</p>,by which the face of the tool is inclined towards back,by which the face of the tool is inclined sideways,between the surface of the flank immediately below the point and a plane at right angles to the centre line of the point of the tool,between the surface of the flank immediately below the point and a line drawn from the point perpendicular to the base,,B,
<p>Internal gears can be made by</p>,hobbing,shaping with pinion cutter,shaping with rack cutter,milling,,B,
<p>In order to prevent tool from rubbing the work __________ on tools are provided.</p>,rake angles,relief angles,,,,B,
<p>The silicon carbide abrasive is chiefly used for grinding</p>,cemented carbide,ceramic,cast iron,all of these,,D,
<p>Drilling is an example of</p>,orthogonal cutting,oblique cutting,simple cutting,uniform cutting,,B,
<p>A round nose tool may be fed eitner from left to right end or from right to left end of the lathe bed.</p>,Yes,No,,,,A,
"<p>When the cutting edge of the tool is dull, then during machining</p>",continuous chips are formed,discontinuous chips are formed,continuous chips with built-up edge are formed,no chips are formed,,C,
<p>A fine grained grinding wheel is used to grind hard materials.</p>,Correct,Incorrect,,,,A,
<p>Cast iron during machining produces</p>,continuous chips,discontinuous chips,continuous chips with built-up-edge,none of these,,B,
<p>A single point thread cutting tool should ideally have</p>,zero rake angle,positive rake angle,negative rake angle,point angle,,A,
<p>The work or surface speed for cylindrical grinding varies from</p>,5 to 10 m/min,10 to 20 m/min,20 to 30 m/min,40 to 60 m/min,,C,
<p>The cutting tool in a milling machine is mounted on</p>,spindle,arbor,column,knee,,B,
<p>The tool made of cemented carbide wear out faster at</p>,slow speeds,medium speeds,fast speeds,very fast speeds,,A,
<p>A push broach as compared to pull broach</p>,has less number of teeth,is short and stocky,removes less material for each pass of the tool,all of the above,,D,
<p>Twist drills are made of</p>,high speed steel,carbon steel,stainless steel,either (a) or (b),,D,
<p>A twist drill is a</p>,side cutting tool,front cutting tool,end cutting tool,none of these,,C,
<p>The rake angle required to machine brass by high speed steel tool is</p>,0°,10°,20°,-10°,,A,
<p>The lip angle of a single point tool is usually</p>,20° to 40°,40° to 60°,60° to 80°,none of these,,C,
<p>The average cutting speed for turning brass with a high speed steel tool is</p>,15 to 19 m/min,25 to 31 m/min,60 to 90 m/min,90 to 120 m/min,,C,
